Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,7.19,7.22,7.16,7.22,13600,7.22
2014-02-21,7.14,7.19,7.14,7.17,2600,7.17
2014-02-20,7.17,7.17,7.17,7.17,000,7.17
2014-02-19,7.17,7.17,7.17,7.17,700,7.17
2014-02-18,7.15,7.19,7.14,7.15,2600,7.15
2014-02-14,7.15,7.15,7.12,7.15,12300,7.15
2014-02-13,7.11,7.21,7.11,7.19,2300,7.19
2014-02-12,7.20,7.34,7.14,7.23,9100,7.23
2014-02-11,7.18,7.19,7.17,7.19,6100,7.19
2014-02-10,7.14,7.18,7.14,7.16,1700,7.16
2014-02-07,7.14,7.15,7.14,7.15,2600,7.15
2014-02-06,7.17,7.17,7.17,7.17,200,7.17
2014-02-05,7.16,7.18,7.16,7.18,1100,7.18
2014-02-04,7.16,7.16,7.16,7.16,6500,7.16
2014-02-03,7.16,7.18,7.16,7.16,1200,7.16
2014-01-31,7.15,7.15,7.15,7.15,400,7.15
2014-01-30,7.15,7.18,7.15,7.16,4000,7.16
2014-01-29,7.16,7.16,7.15,7.15,200,7.15
2014-01-28,7.15,7.16,7.15,7.16,2100,7.16
2014-01-27,7.18,7.18,7.16,7.16,1400,7.16
2014-01-24,7.15,7.17,7.15,7.15,1800,7.15
2014-01-23,7.14,7.18,7.14,7.16,5200,7.16
2014-01-22,7.15,7.18,7.12,7.14,2600,7.14
2014-01-21,7.11,7.14,7.11,7.12,4500,7.12
2014-01-17,7.11,7.11,7.09,7.11,6100,7.11
2014-01-16,7.09,7.11,7.09,7.09,12200,7.09
2014-01-15,7.12,7.12,7.10,7.10,7400,7.10
2014-01-14,7.09,7.11,7.09,7.10,7300,7.10
2014-01-13,7.04,7.09,7.04,7.09,2300,7.09
2014-01-10,7.10,7.10,7.09,7.10,1400,7.10
2014-01-09,7.09,7.12,7.09,7.12,300,7.12
2014-01-08,7.09,7.11,7.09,7.09,4400,7.09
2014-01-07,7.11,7.13,7.09,7.09,1100,7.09
2014-01-06,7.08,7.10,7.08,7.09,6500,7.09
2014-01-03,7.13,7.13,7.07,7.08,10200,7.08
2014-01-02,7.11,7.14,7.02,7.08,51700,7.08
2013-12-31,7.10,7.10,7.08,7.10,3400,7.10
2013-12-30,7.08,7.10,7.08,7.10,5500,7.10
2013-12-27,7.08,7.09,7.08,7.08,700,7.08
2013-12-26,7.05,7.10,7.05,7.08,3300,7.08
2013-12-24,7.10,7.10,7.10,7.10,1200,7.10
2013-12-23,7.10,7.10,7.08,7.10,10200,7.10
2013-12-20,7.11,7.11,7.10,7.10,600,7.10
2013-12-19,7.08,7.10,7.08,7.10,2500,7.10
2013-12-18,7.13,7.20,7.08,7.08,12300,7.08
2013-12-17,7.15,7.15,7.13,7.13,14000,7.13
2013-12-16,7.19,7.30,7.13,7.13,5400,7.13
2013-12-13,7.13,7.19,7.13,7.13,4800,7.13
2013-12-12,7.13,7.25,7.13,7.13,3000,7.13
2013-12-11,7.14,7.42,7.13,7.13,3500,7.13
2013-12-10,7.14,7.16,7.14,7.16,78100,7.16
2013-12-09,7.13,7.15,7.12,7.14,66300,7.14
2013-12-06,7.11,7.19,7.11,7.13,138100,7.13
2013-12-05,5.55,5.77,5.55,5.63,2000,5.63
2013-12-04,5.64,5.65,5.60,5.61,900,5.61
2013-12-03,5.70,5.74,5.64,5.64,1900,5.64
2013-12-02,5.59,5.69,5.59,5.65,1900,5.65
2013-11-29,5.80,5.80,5.80,5.80,500,5.80
2013-11-27,5.57,5.57,5.57,5.57,100,5.57
2013-11-26,5.55,5.55,5.55,5.55,100,5.55
2013-11-25,5.70,5.70,5.53,5.54,500,5.54
2013-11-22,5.62,5.62,5.62,5.62,000,5.62
2013-11-21,5.73,5.73,5.54,5.62,1800,5.62
2013-11-20,5.88,5.88,5.73,5.73,11500,5.73
2013-11-19,5.75,5.88,5.75,5.82,600,5.82
2013-11-18,5.80,5.90,5.79,5.79,1200,5.79
2013-11-15,5.63,5.79,5.63,5.73,2300,5.73
2013-11-14,5.72,5.83,5.55,5.62,13500,5.62
2013-11-13,5.66,5.66,5.66,5.66,100,5.66
2013-11-12,5.62,5.62,5.62,5.62,600,5.62
2013-11-11,5.69,5.79,5.61,5.61,900,5.61
2013-11-08,5.78,5.78,5.61,5.78,5200,5.78
2013-11-07,5.84,5.84,5.50,5.56,5500,5.56
2013-11-06,5.64,5.64,5.64,5.64,100,5.64
2013-11-05,5.96,5.96,5.90,5.90,200,5.90
2013-11-04,5.62,5.99,5.62,5.99,2700,5.99
2013-11-01,5.52,5.74,5.52,5.62,1400,5.62
2013-10-31,5.69,5.72,5.52,5.72,2300,5.72
2013-10-30,5.78,5.78,5.51,5.65,2800,5.65
2013-10-29,5.66,5.66,5.66,5.66,000,5.66
2013-10-28,5.80,5.81,5.53,5.66,13500,5.66
2013-10-25,5.80,5.97,5.80,5.80,1300,5.80
2013-10-24,5.76,5.76,5.76,5.76,1300,5.76
2013-10-23,5.73,5.76,5.73,5.76,2400,5.76
2013-10-22,5.77,5.86,5.74,5.79,2200,5.79
2013-10-21,5.85,5.97,5.85,5.85,800,5.85
2013-10-18,5.79,5.96,5.79,5.81,3800,5.81
2013-10-17,6.03,6.06,5.75,5.78,3000,5.78
2013-10-16,5.80,6.07,5.75,5.81,1400,5.81
2013-10-15,5.77,5.78,5.73,5.76,4100,5.76
2013-10-14,5.74,6.10,5.68,6.04,12700,6.04
2013-10-11,5.62,5.73,5.62,5.73,9100,5.73
2013-10-10,5.21,5.65,5.21,5.65,1500,5.65
2013-10-09,5.16,5.16,5.16,5.16,000,5.16
2013-10-08,5.21,5.21,5.11,5.16,2900,5.16
2013-10-07,5.16,5.24,5.11,5.22,5900,5.22
2013-10-04,5.23,5.28,5.23,5.28,1000,5.28
2013-10-03,5.37,5.37,5.25,5.26,700,5.26
2013-10-02,5.32,5.38,5.32,5.36,1500,5.36
2013-10-01,5.22,5.25,5.11,5.11,9400,5.11
2013-09-30,5.22,5.22,5.18,5.21,7500,5.21
2013-09-27,5.30,5.41,5.27,5.28,3200,5.28
2013-09-26,5.45,5.45,5.45,5.45,900,5.45
2013-09-25,5.75,5.77,5.14,5.43,18000,5.43
2013-09-24,5.79,5.91,5.75,5.76,3600,5.76
2013-09-23,5.77,5.85,5.75,5.80,4400,5.80
2013-09-20,5.94,5.94,5.75,5.75,6300,5.75
2013-09-19,5.83,5.95,5.83,5.95,700,5.95
2013-09-18,5.87,5.99,5.75,5.86,3800,5.86
2013-09-17,5.88,6.10,5.87,5.87,2900,5.87
2013-09-16,5.87,6.33,5.80,5.93,10600,5.93
2013-09-13,5.99,6.04,5.85,5.92,8300,5.92
2013-09-12,6.05,6.11,6.02,6.02,2300,6.02
2013-09-11,6.02,6.17,6.00,6.13,21600,6.13
2013-09-10,6.08,6.08,6.00,6.01,1700,6.01
2013-09-09,6.18,6.18,6.00,6.08,2400,6.08
2013-09-06,6.57,6.57,6.20,6.20,25400,6.20
2013-09-05,6.72,6.72,6.25,6.35,6500,6.35
2013-09-04,6.02,6.32,6.02,6.18,5700,6.18
2013-09-03,6.21,6.25,6.00,6.03,12400,6.03
2013-08-30,6.30,6.30,6.25,6.26,1800,6.26
2013-08-29,6.26,6.30,6.26,6.30,300,6.30
2013-08-28,6.25,6.41,6.25,6.40,2600,6.40
2013-08-27,6.27,6.75,6.17,6.62,9800,6.62
2013-08-26,6.39,6.40,6.13,6.33,8800,6.33
2013-08-23,6.49,6.49,6.15,6.15,13200,6.15
2013-08-22,6.30,6.43,6.27,6.33,7900,6.33
2013-08-21,6.35,6.75,6.26,6.30,7100,6.30
2013-08-20,6.56,6.73,6.20,6.35,18300,6.35
2013-08-19,6.22,6.72,6.15,6.47,57400,6.47
2013-08-16,5.83,6.35,5.75,6.15,114100,6.15
2013-08-15,6.05,6.18,5.60,5.77,69400,5.77
2013-08-14,5.17,6.72,5.17,6.10,166700,6.10
2013-08-13,5.01,5.18,5.01,5.18,1800,5.18
2013-08-12,5.01,5.09,5.01,5.01,1000,5.01
2013-08-09,5.02,5.02,5.02,5.02,100,5.02
2013-08-08,5.01,5.01,5.01,5.01,2700,5.01
2013-08-07,5.00,5.10,5.00,5.02,1600,5.02
2013-08-06,5.03,5.18,5.02,5.05,2700,5.05
2013-08-05,5.03,5.04,5.03,5.04,200,5.04
2013-08-02,5.05,5.05,5.04,5.04,200,5.04
2013-08-01,5.21,5.21,5.04,5.21,1500,5.21
2013-07-31,5.08,5.08,5.08,5.08,1800,5.08
2013-07-30,5.04,5.19,5.04,5.08,400,5.08
2013-07-29,5.04,5.05,5.00,5.00,600,5.00
2013-07-26,5.00,5.09,5.00,5.00,8200,5.00
2013-07-25,5.23,5.23,5.23,5.23,200,5.23
2013-07-24,5.09,5.09,5.01,5.01,1100,5.01
2013-07-23,5.04,5.14,5.04,5.08,3700,5.08
2013-07-22,5.04,5.04,4.99,4.99,900,4.99
