Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,9.74,10.16,9.71,9.93,349800,9.93
2014-02-21,9.91,10.00,9.64,9.68,244600,9.68
2014-02-20,9.65,9.89,9.61,9.84,218900,9.84
2014-02-19,9.90,9.91,9.57,9.62,251700,9.62
2014-02-18,10.08,10.20,9.90,9.90,241500,9.90
2014-02-14,10.11,10.26,9.89,10.09,197700,10.09
2014-02-13,10.13,10.32,9.97,10.24,321800,10.06
2014-02-12,10.13,10.26,10.09,10.18,216500,10.01
2014-02-11,10.09,10.20,10.01,10.15,203100,9.98
2014-02-10,10.12,10.29,9.79,10.07,390100,9.90
2014-02-07,10.04,10.32,9.93,10.07,596200,9.90
2014-02-06,9.92,10.29,9.73,10.02,552000,9.85
2014-02-05,9.27,9.95,8.93,9.94,559700,9.77
2014-02-04,8.98,9.47,8.51,9.26,819500,9.10
2014-02-03,9.43,9.65,8.98,9.00,482200,8.85
2014-01-31,9.31,9.61,9.21,9.42,250500,9.26
2014-01-30,9.62,9.81,9.50,9.50,267800,9.34
2014-01-29,9.78,9.83,9.46,9.54,268700,9.38
2014-01-28,9.46,9.93,9.33,9.84,483900,9.67
2014-01-27,9.34,9.68,9.23,9.42,364000,9.26
2014-01-24,9.95,9.95,9.30,9.36,492000,9.20
2014-01-23,10.01,10.10,9.77,10.05,526000,9.88
2014-01-22,10.47,10.47,9.98,10.10,400300,9.93
2014-01-21,10.29,10.50,10.01,10.49,466400,10.31
2014-01-17,10.08,10.36,9.91,10.21,341800,10.04
2014-01-16,9.56,10.46,9.56,10.04,918000,9.87
2014-01-15,9.26,9.66,9.21,9.54,389000,9.38
2014-01-14,9.43,9.44,9.03,9.15,344300,8.99
2014-01-13,9.25,9.36,8.94,9.05,409700,8.90
2014-01-10,9.79,9.79,9.25,9.31,398000,9.15
2014-01-09,9.70,9.90,9.43,9.83,422800,9.66
2014-01-08,9.63,9.75,9.33,9.70,505000,9.53
2014-01-07,9.53,9.70,9.50,9.61,551600,9.45
2014-01-06,9.25,9.51,9.18,9.48,477900,9.32
2014-01-03,9.00,9.22,8.98,9.20,216800,9.04
2014-01-02,9.15,9.24,8.95,8.98,294700,8.83
2013-12-31,9.03,9.37,9.03,9.19,311300,9.03
2013-12-30,9.62,9.62,9.00,9.09,406200,8.93
2013-12-27,9.25,9.71,9.23,9.65,493700,9.49
2013-12-26,9.13,9.38,9.10,9.18,369500,9.02
2013-12-24,9.12,9.20,9.05,9.16,190200,9.00
2013-12-23,9.29,9.29,8.88,9.08,389600,8.92
2013-12-20,8.83,9.21,8.81,9.21,1177300,9.05
2013-12-19,8.58,8.94,8.58,8.77,446400,8.62
