Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,3.96,4.04,3.87,3.87,22300,3.87
2014-02-21,3.99,4.04,3.91,4.01,7400,4.01
2014-02-20,3.89,4.08,3.89,4.03,18800,4.03
2014-02-19,3.85,3.97,3.69,3.97,54100,3.97
2014-02-18,3.83,3.94,3.76,3.93,28200,3.93
2014-02-14,3.95,3.95,3.79,3.87,5800,3.87
2014-02-13,3.84,3.97,3.81,3.90,7900,3.90
2014-02-12,3.70,3.86,3.66,3.83,13300,3.83
2014-02-11,3.79,3.81,3.67,3.70,25300,3.70
2014-02-10,3.79,3.89,3.75,3.76,15200,3.76
2014-02-07,3.74,3.75,3.68,3.73,14800,3.73
2014-02-06,3.87,3.94,3.65,3.75,19600,3.75
2014-02-05,3.95,3.95,3.71,3.80,13200,3.80
2014-02-04,3.80,3.87,3.70,3.87,17000,3.87
2014-02-03,4.00,4.00,3.76,3.80,65000,3.80
2014-01-31,3.85,4.19,3.66,4.00,82800,4.00
2014-01-30,3.54,4.23,3.54,3.90,354200,3.90
2014-01-29,3.87,4.04,3.54,3.55,55200,3.55
2014-01-28,3.76,3.89,3.63,3.83,62100,3.83
2014-01-27,4.17,4.43,3.80,3.83,111300,3.83
2014-01-24,3.85,4.43,3.84,4.09,169100,4.09
2014-01-23,3.90,4.12,3.86,3.96,26200,3.96
2014-01-22,4.05,4.25,3.89,4.12,30600,4.12
2014-01-21,4.20,4.23,4.04,4.09,33300,4.09
2014-01-17,4.20,4.32,4.20,4.22,25200,4.22
2014-01-16,3.81,4.20,3.81,4.15,34500,4.15
2014-01-15,3.98,4.08,3.84,3.95,16300,3.95
2014-01-14,3.96,4.18,3.92,3.97,15700,3.97
2014-01-13,4.16,4.16,3.87,3.92,17600,3.92
2014-01-10,4.01,4.22,4.01,4.11,23800,4.11
2014-01-09,3.89,4.18,3.77,4.18,84200,4.18
2014-01-08,3.61,3.81,3.54,3.73,55500,3.73
2014-01-07,3.47,3.61,3.40,3.57,11300,3.57
2014-01-06,3.39,3.45,3.30,3.36,10700,3.36
2014-01-03,3.29,3.50,3.28,3.50,35600,3.50
2014-01-02,3.40,3.47,3.25,3.34,24400,3.34
2013-12-31,3.45,3.50,3.32,3.43,88100,3.43
2013-12-30,3.46,3.54,3.44,3.45,38200,3.45
2013-12-27,3.51,3.51,3.44,3.46,29100,3.46
2013-12-26,3.67,3.72,3.53,3.54,31200,3.54
2013-12-24,3.70,3.70,3.55,3.70,15400,3.70
2013-12-23,3.51,3.82,3.45,3.63,37600,3.63
2013-12-20,3.50,3.56,3.40,3.54,57600,3.54
2013-12-19,3.33,3.59,3.27,3.45,87000,3.45
2013-12-18,3.35,3.38,3.25,3.33,49600,3.33
2013-12-17,3.35,3.38,3.21,3.29,17000,3.29
2013-12-16,3.40,3.43,3.20,3.30,73000,3.30
2013-12-13,3.41,3.59,3.40,3.40,37100,3.40
2013-12-12,3.47,3.47,3.40,3.40,37800,3.40
2013-12-11,3.51,3.72,3.50,3.50,26600,3.50
2013-12-10,3.60,3.73,3.52,3.54,50500,3.54
2013-12-09,3.77,3.77,3.60,3.60,32100,3.60
2013-12-06,3.75,3.79,3.65,3.79,31000,3.79
2013-12-05,4.05,4.05,3.65,3.79,76300,3.79
2013-12-04,4.12,4.26,4.01,4.06,21100,4.06
2013-12-03,4.34,4.34,4.07,4.16,31600,4.16
2013-12-02,4.10,4.36,4.02,4.34,23000,4.34
2013-11-29,4.04,4.37,4.04,4.16,18100,4.16
2013-11-27,4.21,4.39,4.05,4.12,37800,4.12
2013-11-26,3.99,4.39,3.99,4.39,34600,4.39
2013-11-25,4.05,4.49,3.95,4.00,24200,4.00
2013-11-22,4.05,4.14,4.00,4.03,16300,4.03
2013-11-21,4.05,4.14,3.90,4.01,52900,4.01
2013-11-20,4.25,4.43,4.06,4.06,28500,4.06
2013-11-19,4.60,4.69,4.23,4.30,34500,4.30
2013-11-18,4.70,4.72,4.61,4.65,15800,4.65
2013-11-15,4.62,4.74,4.62,4.70,22400,4.70
2013-11-14,4.68,4.70,4.54,4.65,26100,4.65
2013-11-13,4.62,4.74,4.62,4.72,9000,4.72
2013-11-12,4.67,4.75,4.61,4.62,11400,4.62
2013-11-11,4.74,4.77,4.67,4.67,5400,4.67
2013-11-08,4.72,5.00,4.70,4.80,22300,4.80
2013-11-07,4.84,4.89,4.69,4.85,13000,4.85
2013-11-06,5.00,5.00,4.87,4.87,8000,4.87
2013-11-05,4.67,5.00,4.67,5.00,24300,5.00
2013-11-04,4.71,4.78,4.67,4.67,23300,4.67
2013-11-01,4.70,4.98,4.67,4.69,24300,4.69
2013-10-31,4.83,4.92,4.66,4.75,13500,4.75
2013-10-30,5.00,5.00,4.68,4.83,33000,4.83
2013-10-29,5.08,5.15,5.08,5.08,11400,5.08
2013-10-28,5.03,5.22,5.03,5.10,5000,5.10
2013-10-25,5.15,5.18,5.03,5.08,19000,5.08
2013-10-24,5.15,5.29,5.10,5.29,6100,5.29
2013-10-23,5.30,5.30,5.01,5.15,10300,5.15
2013-10-22,5.15,5.26,5.00,5.25,14900,5.25
2013-10-21,4.92,5.22,4.60,5.16,61800,5.16
2013-10-18,4.98,5.03,4.81,4.85,31200,4.85
2013-10-17,4.88,5.00,4.88,5.00,13200,5.00
2013-10-16,4.89,5.03,4.78,4.82,38700,4.82
2013-10-15,4.96,5.07,4.77,4.85,15200,4.85
2013-10-14,5.05,5.10,4.86,4.96,7400,4.96
2013-10-11,4.96,5.10,4.96,5.07,15600,5.07
2013-10-10,4.96,5.11,4.77,5.06,12800,5.06
2013-10-09,5.01,5.10,4.80,5.10,47200,5.10
2013-10-08,5.21,5.29,5.03,5.04,29500,5.04
2013-10-07,5.23,5.34,5.20,5.25,14400,5.25
2013-10-04,5.30,5.38,5.16,5.26,33700,5.26
2013-10-03,5.40,5.54,5.16,5.33,41600,5.33
2013-10-02,5.30,5.56,5.26,5.55,41200,5.55
2013-10-01,5.33,5.48,5.26,5.31,6300,5.31
2013-09-30,5.43,5.43,5.28,5.32,26300,5.32
2013-09-27,5.51,5.55,5.43,5.50,28100,5.50
2013-09-26,5.26,5.55,5.26,5.54,63300,5.54
2013-09-25,5.58,5.58,5.20,5.24,38400,5.24
2013-09-24,5.68,5.68,5.42,5.42,39400,5.42
2013-09-23,5.72,5.90,5.49,5.52,89700,5.52
2013-09-20,5.20,6.07,5.14,5.80,475600,5.80
2013-09-19,5.19,5.32,5.13,5.19,25400,5.19
2013-09-18,5.20,5.32,5.13,5.29,22400,5.29
2013-09-17,5.15,5.19,5.12,5.12,14500,5.12
2013-09-16,5.21,5.36,5.20,5.20,10000,5.20
2013-09-13,5.15,5.35,5.15,5.29,17700,5.29
2013-09-12,5.28,5.39,5.16,5.21,30500,5.21
2013-09-11,5.40,5.40,5.20,5.36,46800,5.36
2013-09-10,5.40,5.40,5.27,5.35,33900,5.35
2013-09-09,5.40,5.40,5.25,5.36,8400,5.36
2013-09-06,5.35,5.45,5.25,5.30,14100,5.30
2013-09-05,5.28,5.45,5.12,5.32,20600,5.32
2013-09-04,5.29,5.45,5.10,5.25,72900,5.25
2013-09-03,5.36,5.50,5.36,5.36,24600,5.36
2013-08-30,5.17,5.58,5.10,5.40,34200,5.40
2013-08-29,5.34,5.55,5.16,5.27,30000,5.27
2013-08-28,5.30,5.59,5.30,5.34,31500,5.34
2013-08-27,5.07,5.39,5.07,5.22,47500,5.22
2013-08-26,5.18,5.25,5.12,5.20,25600,5.20
2013-08-23,5.42,5.42,5.10,5.27,24500,5.27
2013-08-22,5.09,5.39,5.08,5.25,15900,5.25
2013-08-21,5.16,5.16,4.95,5.01,15200,5.01
2013-08-20,5.20,5.42,4.85,5.16,65400,5.16
2013-08-19,5.50,5.64,5.15,5.15,22500,5.15
2013-08-16,5.71,5.95,5.50,5.51,22300,5.51
2013-08-15,5.60,5.73,5.53,5.59,69500,5.59
2013-08-14,5.71,5.85,5.09,5.50,140000,5.50
2013-08-13,5.74,6.14,5.72,5.72,23500,5.72
2013-08-12,6.18,6.18,5.79,5.88,26500,5.88
2013-08-09,6.08,6.40,5.86,6.18,52600,6.18
2013-08-08,6.07,6.30,6.07,6.22,28300,6.22
2013-08-07,6.41,6.41,5.79,6.06,71100,6.06
2013-08-06,6.20,7.22,6.01,6.46,158500,6.46
2013-08-05,5.61,6.46,5.61,6.03,160600,6.03
2013-08-02,4.94,5.83,4.90,5.62,213100,5.62
2013-08-01,4.42,4.99,4.42,4.94,122800,4.94
2013-07-31,4.44,4.69,4.32,4.33,95900,4.33
2013-07-30,4.04,4.39,3.98,4.34,37200,4.34
2013-07-29,3.97,4.20,3.97,4.18,14600,4.18
2013-07-26,4.19,4.19,3.94,4.02,6100,4.02
2013-07-25,3.86,4.19,3.86,4.14,11800,4.14
2013-07-24,3.76,4.19,3.68,3.95,57900,3.95
2013-07-23,3.74,3.77,3.68,3.75,4500,3.75
2013-07-22,3.82,3.88,3.75,3.75,9800,3.75
2013-07-19,3.82,3.93,3.76,3.87,15300,3.87
2013-07-18,3.89,3.89,3.67,3.85,15000,3.85
2013-07-17,3.83,3.98,3.53,3.65,11500,3.65
2013-07-16,3.81,3.99,3.81,3.85,11500,3.85
2013-07-15,3.85,4.00,3.75,3.86,16200,3.86
2013-07-12,3.52,4.00,3.52,3.97,46600,3.97
2013-07-11,3.50,3.59,3.45,3.56,9000,3.56
2013-07-10,3.40,3.50,3.39,3.48,19700,3.48
2013-07-09,3.57,3.57,3.41,3.41,10900,3.41
2013-07-08,3.61,3.61,3.55,3.58,6100,3.58
2013-07-05,3.56,3.66,3.56,3.60,3000,3.60
2013-07-03,3.54,3.69,3.54,3.69,7300,3.69
2013-07-02,3.56,3.68,3.50,3.60,9700,3.60
2013-07-01,3.51,3.62,3.51,3.51,10000,3.51
2013-06-28,3.58,3.60,3.56,3.56,9800,3.56
2013-06-27,3.53,3.70,3.49,3.62,16000,3.62
2013-06-26,3.60,3.61,3.45,3.54,21500,3.54
2013-06-25,3.69,3.70,3.60,3.60,5600,3.60
2013-06-24,3.74,3.74,3.60,3.66,5500,3.66
2013-06-21,3.71,3.80,3.68,3.78,7800,3.78
2013-06-20,3.79,3.87,3.60,3.80,40300,3.80
2013-06-19,3.89,3.90,3.79,3.83,23400,3.83
2013-06-18,3.80,3.90,3.79,3.85,7700,3.85
2013-06-17,3.82,3.89,3.78,3.82,14500,3.82
2013-06-14,3.97,4.00,3.79,3.88,35200,3.88
2013-06-13,3.99,3.99,3.81,3.84,37000,3.84
2013-06-12,4.00,4.09,3.90,4.05,6700,4.05
2013-06-11,3.90,4.09,3.89,4.08,10500,4.08
2013-06-10,4.02,4.08,3.96,3.99,14500,3.99
2013-06-07,4.04,4.09,4.03,4.05,5200,4.05
2013-06-06,4.20,4.20,4.04,4.04,24800,4.04
2013-06-05,4.20,4.25,4.20,4.25,15900,4.25
2013-06-04,4.37,4.38,4.17,4.21,15100,4.21
2013-06-03,4.39,4.46,4.27,4.41,10700,4.41
2013-05-31,4.44,4.64,4.30,4.46,5400,4.46
2013-05-30,4.51,4.55,4.29,4.50,27100,4.50
2013-05-29,4.61,4.79,4.39,4.55,21900,4.55
2013-05-28,4.79,4.81,4.52,4.59,23000,4.59
2013-05-24,4.85,4.85,4.70,4.80,9500,4.80
2013-05-23,4.87,4.89,4.72,4.85,3800,4.85
2013-05-22,4.80,4.95,4.70,4.94,21700,4.94
2013-05-21,4.91,4.95,4.73,4.85,20400,4.85
2013-05-20,4.68,4.94,4.68,4.90,25000,4.90
2013-05-17,4.69,4.81,4.66,4.67,15200,4.67
2013-05-16,4.77,4.82,4.64,4.74,29800,4.74
2013-05-15,4.67,4.80,4.62,4.68,13300,4.68
2013-05-14,4.80,4.99,4.55,4.66,74200,4.66
2013-05-13,5.01,5.20,4.85,4.85,26100,4.85
2013-05-10,5.01,5.21,5.01,5.19,21400,5.19
2013-05-09,5.13,5.25,5.03,5.05,15700,5.05
2013-05-08,5.33,5.40,5.02,5.26,24600,5.26
2013-05-07,5.12,5.65,5.12,5.27,50600,5.27
2013-05-06,5.13,5.31,5.10,5.13,20300,5.13
2013-05-03,5.60,5.68,5.11,5.29,84800,5.29
2013-05-02,5.69,5.74,5.20,5.55,49800,5.55
2013-05-01,6.10,6.10,5.51,5.60,67600,5.60
2013-04-30,5.83,6.13,5.83,5.95,53800,5.95
2013-04-29,6.16,6.21,5.80,5.83,51100,5.83
2013-04-26,5.26,6.20,5.26,6.12,102000,6.12
2013-04-25,5.37,5.60,5.25,5.42,113900,5.42
2013-04-24,6.52,7.29,5.11,5.59,282600,5.59
2013-04-23,0.61,0.75,0.60,0.74,18700,7.40
2013-04-22,0.55,0.60,0.55,0.60,93600,6.00
2013-04-19,0.46,0.56,0.46,0.50,96400,5.00
2013-04-18,0.45,0.49,0.45,0.45,64000,4.50
2013-04-17,0.45,0.46,0.42,0.44,41500,4.40
2013-04-16,0.41,0.45,0.40,0.43,68500,4.30
2013-04-15,0.39,0.40,0.39,0.40,24900,4.00
2013-04-12,0.37,0.39,0.37,0.39,11700,3.90
2013-04-11,0.37,0.39,0.37,0.38,27900,3.80
2013-04-10,0.34,0.42,0.34,0.37,5700,3.70
2013-04-09,0.36,0.36,0.35,0.36,5800,3.60
2013-04-08,0.34,0.36,0.34,0.35,16300,3.50
2013-04-05,0.35,0.35,0.34,0.34,9700,3.40
2013-04-04,0.35,0.35,0.35,0.35,5200,3.50
2013-04-03,0.34,0.35,0.34,0.35,13000,3.50
2013-04-02,0.34,0.35,0.34,0.34,22500,3.40
2013-04-01,0.35,0.35,0.35,0.35,11900,3.50
2013-03-28,0.35,0.37,0.35,0.37,12600,3.70
2013-03-27,0.35,0.36,0.35,0.35,19000,3.50
2013-03-26,0.37,0.37,0.36,0.36,6100,3.60
2013-03-25,0.36,0.37,0.35,0.36,9100,3.60
2013-03-22,0.37,0.37,0.36,0.37,12700,3.70
2013-03-21,0.36,0.37,0.36,0.36,14000,3.60
2013-03-20,0.36,0.37,0.36,0.37,18400,3.70
2013-03-19,0.36,0.38,0.35,0.36,11800,3.60
2013-03-18,0.37,0.40,0.36,0.37,11900,3.70
2013-03-15,0.38,0.39,0.36,0.36,17900,3.60
2013-03-14,0.38,0.38,0.37,0.37,9500,3.70
2013-03-13,0.38,0.38,0.36,0.37,9000,3.70
2013-03-12,0.38,0.41,0.37,0.38,23700,3.80
2013-03-11,0.38,0.43,0.38,0.39,58600,3.90
2013-03-08,0.37,0.40,0.37,0.39,18600,3.90
2013-03-07,0.37,0.39,0.37,0.37,16400,3.70
2013-03-06,0.37,0.38,0.37,0.38,13100,3.80
2013-03-05,0.37,0.38,0.36,0.38,25800,3.80
2013-03-04,0.40,0.40,0.37,0.37,17200,3.70
2013-03-01,0.40,0.40,0.38,0.38,22000,3.80
2013-02-28,0.37,0.40,0.37,0.40,12300,4.00
2013-02-27,0.38,0.39,0.36,0.37,12000,3.70
2013-02-26,0.38,0.40,0.36,0.39,21700,3.90
2013-02-25,0.40,0.40,0.38,0.38,14100,3.80
2013-02-22,0.40,0.42,0.38,0.38,45600,3.80
2013-02-21,0.42,0.42,0.40,0.40,25800,4.00
2013-02-20,0.42,0.44,0.40,0.41,23300,4.10
2013-02-19,0.41,0.44,0.41,0.42,21200,4.20
2013-02-15,0.44,0.45,0.41,0.43,17200,4.30
2013-02-14,0.45,0.45,0.40,0.43,36700,4.30
2013-02-13,0.41,0.47,0.39,0.44,64900,4.40
2013-02-12,0.40,0.41,0.38,0.40,24500,4.00
2013-02-11,0.41,0.42,0.39,0.39,6200,3.90
2013-02-08,0.38,0.42,0.36,0.39,35700,3.90
2013-02-07,0.40,0.42,0.33,0.37,101400,3.70
2013-02-06,0.40,0.42,0.40,0.40,22400,4.00
2013-02-05,0.40,0.42,0.40,0.41,25800,4.10
2013-02-04,0.41,0.43,0.40,0.41,30100,4.10
2013-02-01,0.43,0.43,0.41,0.42,16200,4.20
2013-01-31,0.44,0.44,0.42,0.43,14000,4.30
2013-01-30,0.43,0.44,0.42,0.43,13600,4.30
2013-01-29,0.43,0.45,0.42,0.42,18200,4.20
2013-01-28,0.47,0.47,0.42,0.42,34800,4.20
2013-01-25,0.47,0.47,0.44,0.46,24100,4.60
