Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,27.10,27.93,26.89,26.90,14200,26.90
2014-02-21,27.02,27.09,26.86,27.09,2100,27.09
2014-02-20,26.88,27.05,26.85,26.85,3200,26.85
2014-02-19,26.89,27.09,26.78,26.78,12900,26.78
2014-02-18,26.70,27.10,26.70,27.10,5100,27.10
2014-02-14,26.74,26.74,26.50,26.57,3500,26.57
2014-02-13,26.54,26.73,26.54,26.73,900,26.73
2014-02-12,26.42,26.49,26.01,26.49,11100,26.49
2014-02-11,26.50,26.52,26.37,26.37,4100,26.37
2014-02-10,26.50,26.50,26.42,26.42,2500,26.42
2014-02-07,26.40,26.50,26.37,26.49,10000,26.49
2014-02-06,26.50,26.70,26.45,26.45,4600,26.45
2014-02-05,26.51,26.67,26.48,26.64,6100,26.64
2014-02-04,26.43,26.61,26.40,26.49,4500,26.49
2014-02-03,26.72,26.72,26.41,26.41,3900,26.41
2014-01-31,26.51,26.75,26.51,26.60,4600,26.60
2014-01-30,26.67,26.67,26.34,26.40,5800,26.40
2014-01-29,26.52,26.58,26.50,26.56,5000,26.40
2014-01-28,26.70,26.70,26.33,26.60,12600,26.44
2014-01-27,26.50,26.50,26.35,26.45,3400,26.29
2014-01-24,26.20,26.49,26.20,26.40,2700,26.24
2014-01-23,26.47,26.59,26.20,26.45,14100,26.29
2014-01-22,26.24,26.72,26.15,26.45,17800,26.29
2014-01-21,26.00,26.24,26.00,26.17,4400,26.01
2014-01-17,26.13,26.21,26.00,26.21,10400,26.05
2014-01-16,26.03,26.17,25.95,26.12,9300,25.96
2014-01-15,26.13,26.13,25.90,25.90,8800,25.74
2014-01-14,25.99,26.10,25.86,25.86,3800,25.70
2014-01-13,25.84,25.84,25.84,25.84,100,25.68
2014-01-10,25.90,25.90,25.89,25.89,1300,25.73
2014-01-09,25.86,25.86,25.78,25.80,12400,25.64
2014-01-08,26.00,26.00,25.81,25.85,27900,25.69
2014-01-07,25.90,26.00,25.79,25.91,12900,25.75
2014-01-06,25.83,25.90,25.83,25.87,10700,25.71
2014-01-03,25.95,26.00,25.86,25.91,16800,25.75
2014-01-02,26.00,26.00,25.76,25.87,3100,25.71
2013-12-31,25.76,26.11,25.76,26.00,5000,25.84
2013-12-30,25.96,26.19,25.83,25.83,6800,25.67
2013-12-27,25.75,26.24,25.75,26.10,5600,25.78
2013-12-26,26.08,26.10,25.78,25.78,10800,25.46
2013-12-24,25.98,25.99,25.97,25.99,1600,25.67
2013-12-23,25.91,25.95,25.78,25.92,12600,25.60
2013-12-20,26.00,26.00,25.79,25.79,3000,25.47
2013-12-19,25.97,25.97,25.65,25.85,5300,25.53
2013-12-18,25.83,26.05,25.83,26.00,3200,25.68
2013-12-17,25.95,25.99,25.83,25.95,3600,25.63
2013-12-16,25.90,25.95,25.83,25.95,5700,25.63
2013-12-13,25.90,25.93,25.83,25.83,3400,25.51
2013-12-12,25.99,26.00,25.83,25.85,4400,25.53
2013-12-11,25.95,25.95,25.83,25.83,4500,25.51
2013-12-10,25.88,26.10,25.88,25.92,2700,25.60
2013-12-09,26.00,26.02,25.95,25.95,2500,25.63
2013-12-06,26.01,26.03,25.96,25.96,1700,25.64
2013-12-05,26.05,26.18,26.00,26.00,2600,25.68
2013-12-04,26.20,26.26,26.06,26.13,4000,25.81
2013-12-03,26.14,26.20,26.14,26.19,6700,25.86
2013-12-02,26.30,26.30,26.08,26.10,3100,25.78
2013-11-29,26.42,26.42,25.97,26.25,4100,25.92
2013-11-27,26.20,26.50,26.20,26.25,7000,25.92
2013-11-26,26.38,26.40,26.23,26.25,9600,25.76
2013-11-25,26.30,26.50,26.01,26.50,5700,26.01
2013-11-22,26.20,26.53,26.19,26.36,7100,25.87
2013-11-21,26.05,26.53,25.89,26.25,2500,25.76
2013-11-20,26.10,26.10,25.89,26.06,5600,25.58
2013-11-19,25.84,26.21,25.84,26.16,17600,25.67
2013-11-18,25.81,26.11,25.81,25.95,2700,25.47
2013-11-15,25.48,26.18,25.48,26.18,19200,25.69
2013-11-14,26.15,26.19,25.97,26.05,6100,25.57
2013-11-13,26.14,26.15,26.00,26.15,5200,25.66
2013-11-12,25.87,26.04,25.87,26.00,1800,25.52
2013-11-11,26.15,26.44,25.89,26.05,2000,25.57
2013-11-08,25.99,26.03,25.87,26.03,9400,25.55
2013-11-07,25.90,26.00,25.90,25.98,1100,25.50
2013-11-06,26.00,26.10,25.79,25.87,10000,25.39
2013-11-05,26.50,26.50,26.06,26.06,7700,25.41
2013-11-04,26.50,26.60,26.45,26.60,5300,25.94
2013-11-01,26.29,26.45,26.25,26.44,8400,25.79
2013-10-31,26.20,26.27,26.20,26.26,3600,25.61
2013-10-30,26.08,26.27,26.03,26.14,5500,25.49
2013-10-29,26.04,26.32,26.00,26.26,6700,25.61
2013-10-28,26.30,26.30,26.03,26.03,9200,25.39
2013-10-25,26.28,26.28,26.10,26.10,12100,25.45
2013-10-24,26.29,26.34,26.10,26.11,4200,25.46
2013-10-23,26.29,26.30,26.10,26.21,5900,25.56
2013-10-22,26.12,26.30,25.92,26.26,14700,25.61
2013-10-21,26.21,26.32,26.10,26.20,12100,25.55
2013-10-18,26.06,26.23,26.06,26.15,3600,25.50
2013-10-17,25.95,26.09,25.85,25.90,7700,25.26
2013-10-16,26.03,26.07,25.81,25.86,11100,25.22
2013-10-15,26.12,26.12,25.76,25.84,10800,25.20
