Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,88.75,89.77,88.75,89.22,23400,89.22
2014-02-21,89.12,89.20,88.78,88.80,54800,88.80
2014-02-20,88.27,89.00,88.25,88.94,29200,88.94
2014-02-19,88.63,88.97,88.28,88.28,9300,88.28
2014-02-18,88.70,88.91,88.48,88.77,28900,88.77
2014-02-14,88.26,88.72,88.10,88.60,12500,88.60
2014-02-13,87.27,88.39,87.27,88.32,6300,88.32
2014-02-12,87.90,88.00,87.57,87.74,23500,87.74
2014-02-11,86.84,87.67,86.84,87.67,10500,87.67
2014-02-10,86.51,86.74,86.32,86.65,23100,86.65
2014-02-07,85.76,86.44,85.53,86.44,13400,86.44
2014-02-06,84.63,85.20,84.63,85.17,10000,85.17
2014-02-05,83.91,84.27,83.42,84.09,17300,84.09
2014-02-04,83.84,84.37,83.80,84.24,7000,84.24
2014-02-03,85.50,85.50,83.46,83.46,14600,83.46
2014-01-31,85.11,86.13,85.07,85.53,18800,85.53
2014-01-30,85.72,86.30,85.72,85.96,12900,85.96
2014-01-29,85.24,85.32,84.80,84.91,3600,84.91
2014-01-28,85.29,85.83,85.26,85.73,21400,85.73
2014-01-27,86.00,86.00,84.87,85.22,13100,85.22
2014-01-24,87.38,87.38,85.98,85.98,17100,85.98
2014-01-23,88.10,88.10,87.49,87.81,7500,87.81
2014-01-22,88.31,88.47,88.21,88.44,6300,88.44
2014-01-21,88.54,88.54,87.86,88.23,10300,88.23
2014-01-17,88.18,88.24,87.80,87.80,5200,87.80
2014-01-16,88.12,88.22,88.04,88.18,21600,88.18
2014-01-15,87.97,88.32,87.96,88.21,7300,88.21
2014-01-14,86.96,87.81,86.80,87.74,15400,87.74
2014-01-13,87.76,87.89,86.57,86.64,8200,86.64
2014-01-10,87.63,87.87,87.55,87.87,2600,87.87
2014-01-09,87.72,87.80,87.24,87.60,4800,87.60
2014-01-08,87.48,87.58,87.32,87.50,16000,87.50
2014-01-07,87.18,87.52,87.17,87.44,11500,87.44
2014-01-06,87.13,87.13,86.71,86.90,9400,86.90
2014-01-03,87.58,87.60,87.18,87.18,18400,87.18
2014-01-02,87.99,87.99,87.28,87.44,11400,87.44
2013-12-31,87.80,88.19,87.80,88.15,12200,88.15
2013-12-30,87.73,87.81,87.60,87.74,7800,87.74
2013-12-27,88.65,88.65,87.64,87.68,14900,87.68
2013-12-26,87.58,87.89,87.58,87.83,16800,87.83
2013-12-24,87.25,87.41,87.25,87.40,4200,87.40
2013-12-23,86.96,87.17,86.89,87.17,7700,87.17
2013-12-20,86.15,86.79,86.12,86.58,17000,86.58
2013-12-19,86.25,86.38,85.96,86.29,6500,85.95
2013-12-18,85.23,86.34,84.65,86.34,19700,86.00
2013-12-17,85.46,85.46,85.02,85.15,11200,84.82
2013-12-16,85.54,85.54,85.26,85.36,10900,85.03
2013-12-13,85.03,85.03,84.68,84.87,23200,84.54
2013-12-12,85.04,85.04,84.62,84.82,8100,84.49
2013-12-11,86.06,86.06,85.26,85.26,7300,84.93
2013-12-10,86.08,86.16,85.87,85.95,10000,85.62
2013-12-09,86.37,86.37,86.10,86.18,10700,85.84
2013-12-06,85.89,86.07,85.73,85.95,9100,85.62
2013-12-05,85.27,85.40,85.11,85.22,15700,84.89
2013-12-04,85.12,85.69,84.75,85.40,7000,85.07
2013-12-03,85.56,85.67,85.29,85.35,5200,85.02
2013-12-02,86.18,86.18,85.70,85.71,12200,85.38
2013-11-29,86.23,86.33,86.05,86.05,5100,85.71
2013-11-27,85.88,86.03,85.83,86.03,13300,85.70
2013-11-26,85.88,85.96,85.87,85.96,600,85.63
2013-11-25,85.85,85.85,85.37,85.48,8700,85.15
2013-11-22,85.26,85.60,85.24,85.58,54300,85.25
2013-11-21,84.65,85.11,84.65,85.08,10000,84.75
2013-11-20,84.92,85.08,84.26,84.39,4600,84.06
2013-11-19,85.02,85.13,84.63,84.84,10200,84.51
2013-11-18,85.77,85.77,84.95,84.98,12700,84.65
2013-11-15,85.41,85.54,85.26,85.53,11000,85.20
2013-11-14,84.98,85.26,84.83,85.24,7900,84.91
2013-11-13,83.65,84.77,83.62,84.77,4400,84.44
2013-11-12,83.83,84.04,83.82,83.82,1100,83.49
2013-11-11,83.79,84.09,83.79,84.00,4600,83.67
2013-11-08,83.13,84.01,83.10,84.01,7200,83.68
2013-11-07,84.44,84.44,82.95,82.95,8700,82.63
2013-11-06,84.24,84.42,83.99,84.25,17100,83.92
2013-11-05,83.82,84.20,83.58,84.10,10600,83.77
2013-11-04,84.21,84.21,83.93,84.20,20400,83.87
2013-11-01,84.14,84.14,83.58,83.86,76000,83.53
2013-10-31,83.60,84.12,83.58,83.88,3300,83.55
2013-10-30,84.58,84.58,83.67,83.99,50500,83.66
2013-10-29,84.24,84.35,84.04,84.33,9500,84.00
2013-10-28,83.88,84.08,83.83,83.93,12500,83.60
2013-10-25,83.88,83.89,83.50,83.89,19500,83.56
2013-10-24,83.12,83.57,83.12,83.48,21500,83.15
2013-10-23,83.00,83.14,82.79,83.06,7400,82.74
2013-10-22,83.13,83.61,83.13,83.44,10700,83.12
2013-10-21,83.15,83.15,82.81,82.98,193800,82.66
2013-10-18,82.70,83.02,82.59,82.97,53400,82.65
2013-10-17,81.63,82.26,81.53,82.25,7900,81.93
2013-10-16,81.17,81.78,81.17,81.78,22900,81.46
2013-10-15,81.07,81.19,80.63,80.71,10900,80.40
2013-10-14,80.43,81.17,80.43,81.10,11100,80.78
2013-10-11,80.60,80.91,80.60,80.91,6300,80.59
2013-10-10,79.32,80.31,79.32,80.31,16100,80.00
2013-10-09,78.78,78.85,78.31,78.52,7800,78.21
2013-10-08,79.91,79.92,78.67,78.67,16100,78.36
2013-10-07,80.37,80.42,80.03,80.03,5700,79.72
2013-10-04,80.15,80.73,80.15,80.70,6100,80.39
2013-10-03,80.62,80.62,79.72,80.16,5100,79.85
2013-10-02,80.46,80.84,80.46,80.84,9900,80.53
2013-10-01,80.86,80.93,80.66,80.83,7100,80.52
2013-09-30,79.75,80.23,79.74,80.09,3800,79.78
2013-09-27,80.50,80.61,80.40,80.40,99600,80.09
2013-09-26,80.54,80.87,80.54,80.87,62300,80.56
2013-09-25,80.78,80.78,80.29,80.29,6100,79.98
2013-09-24,80.89,80.98,80.61,80.67,10200,80.36
2013-09-23,80.97,80.97,80.48,80.72,249900,80.41
2013-09-20,81.92,81.95,81.36,81.43,800,80.83
2013-09-19,82.03,82.18,81.89,81.96,6000,81.36
2013-09-18,80.93,81.98,80.69,81.82,8900,81.22
2013-09-17,80.54,80.90,80.54,80.85,9300,80.25
2013-09-16,80.62,80.73,80.38,80.38,9100,79.79
2013-09-13,79.99,80.01,79.93,79.94,6400,79.35
2013-09-12,80.05,80.11,79.84,79.85,7400,79.26
2013-09-11,79.62,79.87,79.62,79.87,1600,79.28
2013-09-10,79.44,79.67,79.43,79.67,19200,79.08
2013-09-09,78.68,79.14,78.68,79.06,8000,78.48
2013-09-06,78.53,78.68,77.83,78.26,11700,77.68
2013-09-05,78.11,78.26,78.11,78.19,3600,77.61
2013-09-04,77.75,78.14,77.75,78.06,8500,77.48
2013-09-03,77.64,77.64,77.13,77.44,900,76.87
2013-08-30,77.52,77.52,76.96,76.96,4800,76.39
2013-08-29,77.23,77.69,77.23,77.45,72400,76.88
2013-08-28,76.95,77.10,76.95,77.04,4200,76.47
2013-08-27,77.54,77.54,76.79,76.79,5100,76.22
2013-08-26,78.39,78.65,78.12,78.12,7000,77.54
2013-08-23,78.21,78.28,77.90,78.28,7300,77.70
2013-08-22,77.31,79.75,77.31,77.84,4600,77.27
2013-08-21,77.41,77.73,77.02,77.15,3700,76.58
2013-08-20,77.24,77.70,77.24,77.70,2100,77.13
2013-08-19,77.30,77.68,77.22,77.22,4600,76.65
2013-08-16,77.54,77.63,77.32,77.46,3500,76.89
2013-08-15,78.20,78.20,77.52,77.60,4500,77.03
2013-08-14,79.23,79.23,78.81,78.81,6600,78.23
2013-08-13,79.08,79.29,78.80,79.25,1900,78.67
2013-08-12,78.96,79.11,78.89,78.93,6500,78.35
2013-08-09,79.40,79.40,78.99,79.06,1800,78.48
2013-08-08,79.31,79.44,78.93,79.27,10400,78.68
2013-08-07,78.91,79.08,78.64,78.99,5600,78.41
2013-08-06,79.52,79.53,79.18,79.30,5700,78.71
2013-08-05,79.60,79.73,79.57,79.73,5000,79.14
2013-08-02,79.46,79.66,79.39,79.66,6100,79.07
2013-08-01,79.34,79.54,79.34,79.54,2500,78.95
2013-07-31,78.75,78.84,78.47,78.52,1500,77.94
2013-07-30,78.37,78.58,78.32,78.48,11200,77.90
2013-07-29,78.29,78.50,78.06,78.17,9900,77.59
2013-07-26,78.15,78.50,77.82,78.50,2400,77.92
2013-07-25,78.10,78.33,78.02,78.33,2300,77.75
2013-07-24,78.59,78.59,77.87,78.03,6000,77.45
2013-07-23,78.63,78.66,78.20,78.30,13500,77.72
2013-07-22,78.28,78.48,78.28,78.39,27300,77.81
2013-07-19,78.10,78.22,77.99,78.15,33900,77.57
2013-07-18,78.40,78.41,78.31,78.40,60300,77.82
2013-07-17,78.25,78.28,78.15,78.20,600,77.62
2013-07-16,78.36,78.36,77.92,78.00,2800,77.42
2013-07-15,78.16,78.36,78.16,78.32,2900,77.74
2013-07-12,78.00,78.21,77.95,78.21,7100,77.63
2013-07-11,77.73,78.02,77.65,78.02,8700,77.44
2013-07-10,76.72,76.96,76.68,76.80,4300,76.23
2013-07-09,76.65,76.80,76.35,76.72,15600,76.15
2013-07-08,76.25,76.32,76.15,76.27,5600,75.71
2013-07-05,75.48,75.88,75.48,75.88,1000,75.32
2013-07-03,74.68,75.30,74.68,75.30,2400,74.74
2013-07-02,75.17,75.35,74.64,74.77,2500,74.22
