Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,7.00,7.00,7.00,7.00,000,7.00
2014-02-21,7.00,7.00,7.00,7.00,000,7.00
2014-02-20,7.00,7.00,7.00,7.00,000,7.00
2014-02-19,7.00,7.00,7.00,7.00,000,7.00
2014-02-18,7.00,7.00,7.00,7.00,000,7.00
2014-02-14,7.00,7.00,7.00,7.00,000,7.00
2014-02-13,7.00,7.00,7.00,7.00,000,7.00
2014-02-12,7.00,7.00,7.00,7.00,000,7.00
2014-02-11,7.00,7.00,7.00,7.00,2000,7.00
2014-02-10,7.00,7.00,7.00,7.00,000,7.00
2014-02-07,7.00,7.00,7.00,7.00,000,7.00
2014-02-06,7.00,7.00,7.00,7.00,500,7.00
2014-02-05,5.66,7.25,5.66,6.75,2200,6.75
2014-02-04,7.92,7.92,7.92,7.92,000,7.92
2014-02-03,7.92,7.92,7.92,7.92,000,7.92
2014-01-31,7.92,7.92,7.92,7.92,000,7.92
2014-01-30,7.92,7.92,7.92,7.92,000,7.92
2014-01-29,7.92,7.92,7.92,7.92,000,7.92
2014-01-28,7.92,7.92,7.92,7.92,000,7.92
2014-01-27,7.92,7.92,7.92,7.92,500,7.92
2014-01-24,7.49,7.49,7.49,7.49,000,7.49
2014-01-23,7.49,7.49,7.49,7.49,000,7.49
2014-01-22,7.49,7.49,7.49,7.49,300,7.49
2014-01-21,7.84,8.31,7.49,7.49,27300,7.49
2014-01-17,8.19,8.19,7.84,7.84,1000,7.84
2014-01-16,7.70,7.70,7.70,7.70,000,7.70
2014-01-15,7.70,7.70,7.70,7.70,000,7.70
2014-01-14,7.70,7.70,7.70,7.70,000,7.70
2014-01-13,7.70,7.70,7.70,7.70,000,7.70
2014-01-10,7.75,7.75,7.50,7.70,8200,7.70
2014-01-09,7.87,7.87,7.87,7.87,000,7.87
2014-01-08,7.87,7.87,7.87,7.87,000,7.87
2014-01-07,7.87,7.87,7.87,7.87,000,7.87
2014-01-06,7.87,7.87,7.87,7.87,000,7.87
2014-01-03,7.87,7.87,7.87,7.87,000,7.87
2014-01-02,7.87,7.87,7.87,7.87,000,7.87
2013-12-31,7.87,7.87,7.87,7.87,000,7.87
2013-12-30,7.87,7.87,7.87,7.87,100,7.87
2013-12-27,8.59,8.59,8.59,8.59,300,8.59
2013-12-26,8.85,8.85,8.10,8.64,500,8.64
2013-12-24,7.50,7.50,7.50,7.50,000,7.50
