Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,18.24,18.49,18.20,18.36,24400,18.36
2014-02-21,18.03,18.31,17.97,18.15,39500,18.15
2014-02-20,17.65,18.08,17.52,17.96,22200,17.96
2014-02-19,17.71,17.96,17.30,17.60,46000,17.60
2014-02-18,17.75,18.05,17.70,17.88,34300,17.88
2014-02-14,17.80,17.84,17.74,17.81,16100,17.81
2014-02-13,17.34,17.83,17.22,17.79,19500,17.79
2014-02-12,17.65,17.65,17.37,17.52,14000,17.52
2014-02-11,17.57,18.38,17.39,17.62,16500,17.62
2014-02-10,17.06,17.21,17.00,17.21,19700,17.21
2014-02-07,17.09,17.24,16.93,17.21,56500,17.21
2014-02-06,17.11,17.25,17.02,17.11,35000,17.11
2014-02-05,17.00,17.36,16.96,17.08,64700,17.00
2014-02-04,17.17,17.33,17.00,17.00,60300,16.92
2014-02-03,17.64,17.78,17.00,17.15,71500,17.07
2014-01-31,17.33,17.95,17.33,17.79,67700,17.71
2014-01-30,18.08,18.08,17.73,17.83,34100,17.75
2014-01-29,18.17,18.17,17.89,17.90,23400,17.82
2014-01-28,18.05,18.22,17.82,18.20,47400,18.11
2014-01-27,17.84,18.21,17.24,18.05,31200,17.97
2014-01-24,18.26,18.39,17.58,17.91,50600,17.83
2014-01-23,18.61,18.69,18.24,18.31,20300,18.22
2014-01-22,18.70,18.75,18.60,18.73,23500,18.64
2014-01-21,18.73,18.79,18.55,18.75,17600,18.66
2014-01-17,18.87,18.93,18.53,18.62,42900,18.53
2014-01-16,18.85,18.91,18.71,18.84,42100,18.75
2014-01-15,18.98,19.05,18.85,18.97,29200,18.88
2014-01-14,19.04,19.10,18.87,19.02,29500,18.93
2014-01-13,19.00,19.04,18.81,19.01,52500,18.92
2014-01-10,19.00,19.05,18.88,19.01,35100,18.92
2014-01-09,18.65,19.08,18.65,19.00,29600,18.91
2014-01-08,18.46,18.65,18.35,18.63,61300,18.54
