Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,70.62,72.17,70.14,71.42,46300,71.42
2014-02-21,70.86,71.16,70.23,70.44,50300,70.44
2014-02-20,70.15,70.93,70.03,70.54,38900,70.54
2014-02-19,70.11,70.52,69.73,69.81,34000,69.81
2014-02-18,70.76,70.85,70.28,70.55,55200,70.55
2014-02-14,69.87,70.76,69.85,70.63,50500,70.63
2014-02-13,68.76,70.19,68.76,70.00,26200,70.00
2014-02-12,69.56,69.95,68.14,69.16,44300,69.16
2014-02-11,68.52,69.86,68.05,69.57,43300,69.57
2014-02-10,68.36,68.61,67.64,68.42,45200,68.42
2014-02-07,68.05,69.11,67.51,68.99,62000,68.99
2014-02-06,67.56,67.91,67.17,67.68,74000,67.68
2014-02-05,67.30,67.80,66.86,67.21,48100,67.21
2014-02-04,67.76,68.18,67.22,67.67,59200,67.67
2014-02-03,68.31,69.25,66.75,67.26,101700,67.26
2014-01-31,68.67,69.83,68.52,68.73,87600,68.73
2014-01-30,69.31,71.63,69.06,69.89,98400,69.89
2014-01-29,69.12,69.38,68.50,68.91,87600,68.91
2014-01-28,69.25,70.20,69.17,69.93,62700,69.93
2014-01-27,70.29,70.47,69.29,69.40,72400,69.40
2014-01-24,70.62,71.02,70.00,70.30,66600,70.30
2014-01-23,71.67,71.67,70.53,70.83,92600,70.83
2014-01-22,71.28,72.05,71.21,71.74,50200,71.74
2014-01-21,72.73,72.73,71.10,71.45,76800,71.45
2014-01-17,72.54,72.99,71.71,71.86,50500,71.86
2014-01-16,72.70,73.20,72.41,72.79,41100,72.79
2014-01-15,73.23,73.65,72.79,72.93,56200,72.93
2014-01-14,74.00,74.00,73.22,73.46,47100,73.46
2014-01-13,73.61,73.79,72.83,73.56,96500,73.56
2014-01-10,73.43,73.95,72.82,73.24,59400,73.24
2014-01-09,74.21,74.79,72.11,73.33,223600,73.33
2014-01-08,75.23,75.95,75.00,75.55,129300,75.55
2014-01-07,75.63,76.01,74.90,75.09,86900,75.09
2014-01-06,76.36,76.68,74.62,74.71,78600,74.71
2014-01-03,74.50,76.50,74.50,75.75,92200,75.75
2014-01-02,74.31,75.00,73.39,74.00,87700,74.00
2013-12-31,75.36,75.71,74.56,74.68,38000,74.34
2013-12-30,75.74,75.89,74.91,75.33,29500,74.99
