Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,38.10,38.10,36.57,37.50,4300,37.50
2014-02-21,35.35,37.80,35.29,36.81,5600,36.81
2014-02-20,38.04,38.22,38.00,38.22,1300,38.22
2014-02-19,38.83,38.83,38.83,38.83,000,38.83
2014-02-18,38.83,38.83,38.83,38.83,000,38.83
2014-02-14,38.83,38.83,38.83,38.83,200,38.83
2014-02-13,37.51,39.34,37.51,39.34,700,39.34
2014-02-12,36.91,37.32,36.60,37.32,2000,37.32
2014-02-11,37.13,37.75,36.91,36.91,6200,36.91
2014-02-10,37.84,37.84,37.84,37.84,000,37.84
2014-02-07,37.84,37.84,37.84,37.84,000,37.84
2014-02-06,37.84,37.84,37.84,37.84,000,37.84
2014-02-05,37.84,37.84,37.84,37.84,000,37.84
2014-02-04,37.84,37.84,37.84,37.84,000,37.84
2014-02-03,38.06,38.06,37.59,37.84,400,37.84
2014-01-31,37.75,37.75,37.75,37.75,000,37.75
2014-01-30,37.75,37.75,37.75,37.75,300,37.75
2014-01-29,36.50,37.75,36.50,37.75,2800,37.75
2014-01-28,35.62,36.50,35.59,36.50,8300,36.50
2014-01-27,36.42,36.42,36.42,36.42,000,36.42
2014-01-24,36.55,36.55,36.42,36.42,1400,36.42
2014-01-23,37.98,37.98,37.30,37.30,1600,37.30
2014-01-22,34.95,38.12,34.95,37.92,8500,37.92
2014-01-21,34.05,35.40,34.05,35.40,2800,35.40
2014-01-17,34.72,35.00,34.72,34.85,3600,34.85
2014-01-16,34.95,34.95,34.95,34.95,000,34.95
2014-01-15,33.75,34.97,33.75,34.95,1000,34.95
2014-01-14,33.84,33.84,33.81,33.84,700,33.84
2014-01-13,33.00,33.00,33.00,33.00,000,33.00
2014-01-10,33.00,33.00,33.00,33.00,000,33.00
2014-01-09,33.50,34.00,31.96,33.00,1900,33.00
2014-01-08,35.01,35.01,35.01,35.01,000,35.01
2014-01-07,34.65,35.01,34.65,35.01,1200,35.01
2014-01-06,34.84,34.84,34.84,34.84,000,34.84
2014-01-03,34.50,34.86,34.45,34.84,1400,34.84
