Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,110.82,112.86,110.74,112.44,44900,112.44
2014-02-21,112.53,112.93,111.50,111.69,46000,111.69
2014-02-20,113.02,113.54,112.75,113.39,30400,113.39
2014-02-19,112.73,113.75,112.43,112.49,28300,112.49
2014-02-18,113.58,114.04,113.23,113.54,36500,113.54
2014-02-14,112.38,113.26,112.17,112.87,30000,112.87
2014-02-13,111.31,112.26,111.20,112.22,38800,112.22
2014-02-12,110.88,112.22,110.86,111.99,64100,111.99
2014-02-11,109.21,110.15,109.01,109.82,60000,109.82
2014-02-10,106.83,107.48,106.59,107.25,24800,107.25
2014-02-07,107.02,107.57,106.46,107.57,33400,107.57
2014-02-06,105.98,106.45,105.90,106.39,34400,106.39
2014-02-05,104.58,104.87,103.54,104.23,50000,104.23
2014-02-04,103.82,104.39,103.33,104.00,122900,104.00
2014-02-03,104.27,104.70,102.19,102.27,86900,102.27
2014-01-31,103.23,105.29,103.02,104.87,53300,104.87
2014-01-30,105.16,105.73,104.46,105.68,73700,105.68
2014-01-29,105.90,106.70,105.61,106.11,60500,106.11
2014-01-28,106.76,107.60,106.63,107.51,36100,107.51
2014-01-27,105.90,106.35,105.03,105.58,89700,105.58
2014-01-24,108.54,108.54,106.77,106.77,50300,106.77
2014-01-23,110.60,110.60,109.66,110.31,35900,110.31
2014-01-22,111.43,111.96,111.23,111.93,32000,111.93
2014-01-21,111.90,111.94,111.15,111.86,42900,111.86
2014-01-17,111.45,111.76,110.86,111.16,63000,111.16
2014-01-16,112.35,112.35,111.38,112.07,46400,112.07
2014-01-15,113.38,113.47,112.83,113.32,43000,113.32
2014-01-14,112.00,112.80,111.45,112.62,51100,112.62
2014-01-13,111.93,111.96,110.63,110.70,38000,110.70
2014-01-10,112.37,113.14,111.99,113.07,37200,113.07
2014-01-09,111.04,111.17,109.94,110.80,31300,110.80
2014-01-08,110.87,111.12,110.46,111.12,35100,111.12
2014-01-07,111.74,112.41,111.56,112.28,28900,112.28
2014-01-06,113.20,113.30,111.59,111.89,23400,111.89
2014-01-03,113.30,113.98,113.06,113.58,29500,113.58
2014-01-02,113.66,113.66,112.51,113.05,35400,113.05
2013-12-31,112.79,115.40,112.79,114.86,27800,114.86
2013-12-30,113.55,114.23,113.07,113.97,37100,113.97
2013-12-27,114.25,114.47,113.79,114.15,34600,114.15
2013-12-26,114.17,114.34,109.83,113.73,33000,113.73
2013-12-24,112.36,112.70,112.06,112.67,22900,112.67
2013-12-23,111.41,111.93,110.80,111.60,43500,111.60
2013-12-20,110.76,111.53,110.08,110.10,97100,110.10
2013-12-19,108.63,110.72,108.54,110.00,60700,110.00
2013-12-18,107.10,108.18,106.10,108.18,37700,108.18
2013-12-17,106.46,106.60,105.80,106.40,45000,106.40
2013-12-16,107.00,108.01,106.95,107.23,50000,107.23
2013-12-13,105.72,106.26,105.28,106.03,74500,106.03
2013-12-12,106.32,106.42,104.67,105.23,57100,105.23
2013-12-11,108.64,108.76,107.13,107.35,31400,107.35
2013-12-10,107.93,108.28,107.23,108.28,68800,108.28
2013-12-09,108.37,108.84,107.77,108.28,28700,108.28
2013-12-06,107.41,108.25,107.25,108.25,38200,108.25
2013-12-05,107.86,107.87,106.66,106.98,38300,106.98
2013-12-04,107.43,109.17,107.43,108.94,34900,108.94
2013-12-03,108.77,108.83,107.81,108.27,21000,108.27
2013-12-02,110.21,110.30,109.29,109.42,17800,109.42
2013-11-29,111.22,111.23,110.59,110.76,13700,110.76
2013-11-27,111.19,111.36,110.00,110.44,34400,110.44
2013-11-26,109.93,110.02,108.97,109.46,43900,109.46
2013-11-25,110.65,110.69,109.11,109.36,38400,109.36
2013-11-22,111.28,111.44,110.68,111.16,36500,111.16
2013-11-21,108.52,109.49,107.60,109.38,44300,109.38
2013-11-20,107.33,107.73,106.68,107.04,35600,107.04
2013-11-19,107.00,107.55,106.59,107.22,47400,107.22
2013-11-18,109.12,109.27,108.34,108.57,58400,108.57
2013-11-15,109.61,109.61,109.07,109.42,23700,109.42
2013-11-14,107.35,108.41,107.06,108.14,45300,108.14
2013-11-13,104.56,105.88,104.26,105.88,82200,105.88
2013-11-12,107.39,107.66,106.22,107.26,54600,107.26
2013-11-11,109.44,109.58,108.57,109.01,37200,109.01
2013-11-08,108.58,110.12,108.48,110.11,67000,110.11
