Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,10.58,10.61,10.54,10.59,297400,10.59
2014-02-21,10.65,10.65,10.58,10.58,197000,10.58
2014-02-20,10.65,10.66,10.61,10.63,204100,10.63
2014-02-19,10.65,10.67,10.63,10.63,278300,10.63
2014-02-18,10.55,10.68,10.55,10.67,444800,10.67
2014-02-14,10.54,10.61,10.52,10.60,357300,10.60
2014-02-13,10.46,10.60,10.46,10.60,893200,10.60
2014-02-12,10.50,10.54,10.49,10.52,296700,10.52
2014-02-11,10.51,10.54,10.47,10.53,276900,10.53
2014-02-10,10.48,10.54,10.43,10.52,238100,10.52
2014-02-07,10.44,10.50,10.42,10.47,261600,10.47
2014-02-06,10.44,10.47,10.39,10.45,238800,10.45
2014-02-05,10.36,10.50,10.35,10.45,287900,10.45
2014-02-04,10.47,10.50,10.36,10.40,350900,10.40
2014-02-03,10.57,10.60,10.38,10.44,529200,10.44
2014-01-31,10.48,10.59,10.44,10.56,394000,10.56
2014-01-30,10.45,10.60,10.45,10.58,749600,10.58
2014-01-29,10.42,10.50,10.40,10.45,422400,10.45
2014-01-28,10.35,10.54,10.35,10.50,986900,10.50
2014-01-27,10.50,10.51,10.40,10.42,801500,10.42
2014-01-24,10.60,10.63,10.52,10.56,1251200,10.56
2014-01-23,10.65,10.70,10.40,10.66,4630800,10.66
2014-01-22,11.68,11.74,11.61,11.73,93800,10.69
2014-01-21,11.61,11.63,11.59,11.63,106600,10.60
2014-01-17,11.61,11.61,11.56,11.60,19700,10.57
2014-01-16,11.50,11.59,11.50,11.59,33200,10.56
2014-01-15,11.59,11.59,11.53,11.53,11500,10.51
2014-01-14,11.28,11.63,11.28,11.52,43400,10.50
2014-01-13,11.16,11.24,11.15,11.20,22600,10.21
2014-01-10,11.17,11.22,11.15,11.17,11000,10.18
2014-01-09,11.15,11.15,11.10,11.14,30400,10.15
2014-01-08,11.10,11.15,11.10,11.10,27300,10.12
2014-01-07,11.21,11.25,11.10,11.11,23400,10.13
2014-01-06,11.12,11.21,11.12,11.15,19400,10.16
2014-01-03,11.04,11.21,11.04,11.21,38600,10.22
2014-01-02,11.10,11.19,11.01,11.04,47500,10.06
2013-12-31,11.11,11.20,11.00,11.10,262700,10.12
2013-12-30,11.22,11.25,11.18,11.18,21700,10.19
2013-12-27,11.20,11.26,11.20,11.21,20200,10.22
2013-12-26,11.22,11.28,11.20,11.22,15600,10.23
2013-12-24,11.27,11.28,11.15,11.24,14400,10.24
2013-12-23,11.26,11.26,11.14,11.20,28100,10.21
2013-12-20,11.50,11.50,11.10,11.29,88000,10.29
2013-12-19,11.55,11.55,11.45,11.52,27900,10.50
2013-12-18,11.36,11.55,11.36,11.55,51700,10.53
2013-12-17,11.33,11.40,11.33,11.39,13400,10.38
2013-12-16,11.36,11.39,11.32,11.39,16500,10.38
2013-12-13,11.35,11.36,11.27,11.33,35300,10.33
2013-12-12,11.25,11.35,11.25,11.30,29400,10.30
2013-12-11,11.20,11.27,11.15,11.22,35800,10.23
2013-12-10,11.31,11.35,11.14,11.15,31800,10.16
2013-12-09,11.29,11.34,11.29,11.31,25700,10.31
2013-12-06,11.27,11.33,11.26,11.29,28700,10.29
2013-12-05,11.30,11.33,11.25,11.27,22100,10.27
2013-12-04,11.30,11.38,11.30,11.31,21900,10.31
2013-12-03,11.30,11.35,11.23,11.31,28200,10.31
2013-12-02,11.26,11.38,11.25,11.25,26900,10.25
2013-11-29,11.37,11.42,11.29,11.32,12300,10.32
2013-11-27,11.20,11.34,11.20,11.34,25200,10.34
2013-11-26,11.20,11.25,11.15,11.22,43700,10.23
2013-11-25,11.08,11.20,10.90,11.15,35700,10.16
2013-11-22,11.13,11.28,10.90,11.22,25700,10.23
2013-11-21,11.00,11.28,10.96,11.16,36300,10.17
2013-11-20,10.95,11.00,10.90,10.91,17000,9.94
