Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,70.64,72.00,69.14,71.23,21800,71.23
2014-02-21,70.44,71.37,67.90,70.80,23100,70.80
2014-02-20,70.72,71.86,69.85,70.51,27800,70.51
2014-02-19,71.52,72.44,70.38,70.42,24400,70.42
2014-02-18,70.09,72.10,69.21,71.80,81800,71.80
2014-02-14,70.21,70.78,69.70,70.09,29300,70.09
2014-02-13,69.13,70.57,68.90,70.07,25300,70.07
2014-02-12,68.70,69.54,68.03,69.13,23600,69.13
2014-02-11,68.84,69.03,68.25,68.70,19000,68.58
2014-02-10,68.87,68.87,67.87,68.79,18500,68.67
2014-02-07,67.61,68.95,67.45,68.60,20900,68.48
2014-02-06,68.44,70.10,67.32,67.57,26500,67.45
2014-02-05,70.00,70.36,68.25,68.56,23500,68.44
2014-02-04,69.86,71.70,69.51,69.95,29900,69.83
2014-02-03,72.07,72.17,68.29,69.25,28100,69.13
2014-01-31,71.03,73.18,70.66,71.80,45200,71.67
2014-01-30,71.13,71.13,69.02,70.15,24900,70.03
2014-01-29,70.77,71.18,69.15,69.89,13800,69.77
2014-01-28,71.68,71.99,70.41,71.20,29200,71.08
2014-01-27,72.89,73.45,71.41,71.69,16200,71.56
2014-01-24,73.90,73.98,72.10,72.93,60200,72.80
2014-01-23,75.49,75.59,73.95,74.03,22500,73.90
2014-01-22,77.14,77.26,76.01,76.18,13400,76.05
2014-01-21,76.62,77.66,75.71,76.71,15900,76.58
2014-01-17,75.41,77.30,74.76,75.81,13800,75.68
2014-01-16,75.46,76.81,74.92,75.29,11300,75.16
2014-01-15,76.93,77.76,76.31,76.47,17600,76.34
2014-01-14,75.65,77.78,75.65,76.85,12700,76.72
2014-01-13,77.70,77.70,75.26,75.45,22500,75.32
2014-01-10,76.97,77.79,76.33,77.62,31100,77.48
2014-01-09,77.03,78.32,75.83,76.83,25700,76.70
2014-01-08,75.84,76.95,75.83,76.54,16600,76.41
2014-01-07,76.34,77.35,76.28,77.04,24400,76.91
2014-01-06,76.73,77.50,75.83,76.28,32000,76.15
2014-01-03,77.54,77.85,76.06,76.63,14600,76.50
2014-01-02,77.51,77.61,75.49,77.46,39900,77.32
2013-12-31,77.45,78.39,77.00,77.53,19100,77.39
2013-12-30,76.68,77.66,76.68,77.55,17900,77.41
2013-12-27,78.22,78.22,76.38,77.48,23200,77.34
2013-12-26,79.48,79.56,77.52,77.68,20300,77.54
2013-12-24,77.78,79.85,77.78,79.11,14500,78.97
2013-12-23,76.92,78.76,76.53,78.24,38000,78.10
2013-12-20,75.44,77.20,75.44,76.76,64100,76.63
2013-12-19,76.30,76.39,74.31,75.08,18000,74.95
2013-12-18,75.67,76.32,75.08,76.25,50000,76.12
2013-12-17,75.04,75.50,74.04,75.25,41100,75.12
2013-12-16,75.70,75.76,74.17,74.69,79300,74.56
2013-12-13,75.39,75.41,73.96,75.02,20400,74.89
2013-12-12,74.27,75.25,73.72,74.90,34900,74.77
2013-12-11,75.20,75.20,73.14,73.93,46400,73.80
2013-12-10,75.83,76.25,74.00,74.63,69000,74.50
2013-12-09,75.73,76.02,75.17,75.42,24000,75.29
2013-12-06,76.08,76.08,74.47,75.84,34400,75.71
2013-12-05,75.96,75.96,74.65,75.01,70500,74.88
2013-12-04,75.54,76.03,74.92,75.49,34400,75.36
2013-12-03,74.85,75.57,74.70,75.15,67400,75.02
2013-12-02,76.25,76.25,74.31,74.60,97700,74.47
2013-11-29,75.20,76.24,75.20,75.94,25500,75.81
2013-11-27,74.47,75.77,74.44,75.68,59800,75.55
2013-11-26,74.08,74.80,73.58,74.35,51400,74.22
2013-11-25,72.75,74.76,72.69,74.22,83900,74.09
2013-11-22,71.31,72.40,71.08,72.35,77300,72.22
2013-11-21,71.02,71.68,70.80,71.37,52100,71.25
2013-11-20,71.01,71.18,70.37,71.04,97200,70.92
2013-11-19,71.00,71.34,70.58,70.97,35600,70.85
2013-11-18,70.74,71.99,70.74,71.10,126500,70.98
2013-11-15,70.96,71.98,70.62,71.08,35000,70.96
2013-11-14,70.66,71.30,70.24,71.10,23700,70.98
2013-11-13,68.32,70.95,67.97,70.79,45000,70.67
2013-11-12,70.00,70.24,69.55,70.00,101800,69.88
2013-11-11,70.73,70.91,69.80,70.00,114000,69.88
2013-11-08,69.32,71.21,69.32,70.72,92800,70.60
2013-11-07,69.42,69.72,68.90,69.06,8500,68.94
2013-11-06,70.32,70.32,69.35,69.99,4400,69.87
2013-11-05,69.27,70.55,69.27,69.76,12000,69.52
2013-11-04,70.38,71.43,69.10,69.27,51700,69.03
2013-11-01,69.94,70.94,69.01,70.17,37800,69.93
2013-10-31,70.53,70.67,69.48,70.01,47600,69.77
2013-10-30,70.56,70.56,70.16,70.29,22300,70.05
2013-10-29,70.90,71.00,69.86,70.20,53400,69.96
2013-10-28,70.00,71.43,69.41,70.91,33600,70.66
2013-10-25,66.33,75.84,66.33,70.00,52300,69.76
2013-10-24,65.61,65.77,64.90,65.72,11300,65.49
2013-10-23,66.07,66.07,64.89,64.99,12200,64.76
2013-10-22,64.15,65.24,64.04,64.67,20400,64.45
2013-10-21,64.51,65.45,64.25,64.31,27500,64.09
2013-10-18,64.08,64.58,63.03,64.54,22900,64.32
2013-10-17,62.71,63.76,62.40,63.60,18400,63.38
2013-10-16,62.59,62.93,61.61,62.78,16500,62.56
2013-10-15,62.01,62.77,60.54,61.63,34000,61.42
2013-10-14,61.65,62.44,61.58,62.35,17000,62.13
2013-10-11,58.55,61.13,58.55,60.98,17000,60.77
2013-10-10,58.20,59.41,58.20,58.85,28100,58.65
2013-10-09,57.75,58.60,57.45,58.02,13900,57.82
2013-10-08,58.31,58.35,57.57,58.03,11400,57.83
2013-10-07,59.75,59.75,58.43,58.43,24300,58.23
2013-10-04,58.83,60.24,58.83,60.06,5700,59.85
2013-10-03,59.40,59.54,58.50,58.85,19400,58.65
