Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,24.58,24.78,23.96,24.16,245500,24.16
2014-02-21,24.92,24.96,24.31,24.65,168300,24.65
2014-02-20,24.33,24.92,24.10,24.77,133400,24.77
2014-02-19,24.77,24.91,24.08,24.27,178500,24.27
2014-02-18,24.20,24.89,24.01,24.74,141900,24.74
2014-02-14,24.15,24.39,23.80,24.27,97600,24.27
2014-02-13,23.91,24.38,23.76,24.11,194600,24.11
2014-02-12,23.83,24.18,23.61,24.06,304900,24.06
2014-02-11,23.39,24.17,23.08,23.88,185400,23.88
2014-02-10,23.31,23.38,23.06,23.35,75800,23.35
2014-02-07,23.34,23.48,23.25,23.38,109300,23.38
2014-02-06,22.51,23.42,22.37,23.36,233100,23.36
2014-02-05,22.65,22.84,21.90,22.57,419100,22.34
2014-02-04,22.29,23.15,22.24,22.68,279700,22.45
2014-02-03,22.79,23.00,21.43,22.27,943100,22.05
2014-01-31,24.27,24.51,22.91,23.12,313300,22.89
2014-01-30,25.22,25.60,24.55,24.58,134500,24.33
2014-01-29,24.16,25.55,24.16,25.00,559700,24.75
2014-01-28,24.87,25.36,24.17,25.19,87800,24.94
2014-01-27,25.10,25.55,24.77,24.87,92300,24.62
2014-01-24,25.37,26.15,24.87,25.02,184200,24.77
2014-01-23,25.09,25.36,24.34,25.28,169000,25.03
2014-01-22,25.55,25.74,25.39,25.42,40700,25.17
2014-01-21,25.99,26.12,25.15,25.49,117700,25.24
2014-01-17,25.96,26.15,25.55,25.83,101300,25.57
2014-01-16,26.03,26.21,25.83,25.93,88300,25.67
2014-01-15,26.09,26.24,25.83,25.99,80600,25.73
2014-01-14,25.96,26.14,25.55,26.11,111700,25.85
2014-01-13,25.96,25.99,25.55,25.84,155200,25.58
2014-01-10,25.60,25.98,24.95,25.92,150600,25.66
2014-01-09,25.52,25.52,24.55,24.86,178000,24.61
2014-01-08,25.21,25.58,25.05,25.50,70500,25.25
2014-01-07,25.88,25.99,25.22,25.29,96800,25.04
2014-01-06,25.55,26.01,25.25,25.73,154900,25.47
2014-01-03,25.31,26.00,24.99,25.65,220400,25.39
2014-01-02,25.61,25.95,24.94,25.28,111400,25.03
2013-12-31,26.03,26.05,25.62,25.71,81600,25.45
2013-12-30,26.00,26.17,25.45,25.96,76400,25.70
2013-12-27,26.12,26.39,25.16,26.04,96300,25.78
2013-12-26,25.98,26.20,25.66,26.01,74700,25.75
2013-12-24,25.77,26.19,25.75,25.94,108800,25.68
2013-12-23,25.61,26.05,25.39,25.73,133000,25.47
2013-12-20,25.83,25.95,25.19,25.47,805400,25.22
2013-12-19,25.75,26.39,25.34,25.86,127500,25.60
2013-12-18,25.75,25.92,25.19,25.72,228000,25.46
2013-12-17,25.51,26.00,25.24,25.64,186600,25.38
2013-12-16,25.63,25.99,25.08,25.51,274700,25.26
2013-12-13,25.52,25.74,25.01,25.55,176100,25.30
2013-12-12,24.83,25.53,24.65,25.42,188700,25.17
2013-12-11,24.64,24.98,24.39,24.78,142800,24.53
2013-12-10,24.05,24.82,24.01,24.67,405900,24.42
2013-12-09,23.79,24.09,23.48,24.02,174800,23.78
2013-12-06,23.83,24.09,23.47,23.70,272700,23.46
2013-12-05,23.47,24.04,22.45,23.53,109400,23.30
2013-12-04,22.97,23.70,22.76,23.40,156600,23.17
2013-12-03,22.75,23.17,22.35,22.96,112600,22.73
2013-12-02,23.09,23.10,22.70,22.75,51700,22.52
2013-11-29,23.30,23.30,22.92,23.03,120100,22.80
2013-11-27,22.51,23.01,22.23,22.90,119900,22.67
2013-11-26,22.29,22.91,22.15,22.43,208100,22.21
2013-11-25,22.37,22.37,22.00,22.20,79600,21.98
2013-11-22,22.30,22.30,22.00,22.29,89000,22.07
2013-11-21,22.17,22.49,22.06,22.40,80500,22.18
2013-11-20,22.51,22.67,21.70,21.97,188700,21.75
2013-11-19,22.50,22.74,22.36,22.38,28800,22.16
2013-11-18,22.57,22.77,22.32,22.42,50200,22.20
2013-11-15,22.32,22.68,22.10,22.50,60500,22.28
2013-11-14,22.42,22.80,22.29,22.36,63900,22.14
2013-11-13,22.30,22.70,22.15,22.50,62600,22.28
2013-11-12,22.42,22.92,22.17,22.37,65800,22.15
2013-11-11,22.77,23.08,22.36,22.43,94400,22.21
2013-11-08,22.28,23.96,22.21,22.87,128700,22.64
2013-11-07,22.82,22.95,22.03,22.12,108400,21.90
2013-11-06,22.39,23.39,22.39,22.75,84100,22.52
2013-11-05,22.46,22.75,22.33,22.50,49400,22.05
2013-11-04,22.40,22.80,22.09,22.50,112300,22.05
2013-11-01,22.02,22.25,21.84,22.09,99100,21.65
2013-10-31,22.00,22.43,21.71,22.02,220000,21.58
2013-10-30,23.27,23.27,21.32,22.01,321600,21.57
2013-10-29,24.96,25.00,22.96,23.43,89400,22.96
2013-10-28,24.08,24.34,23.82,24.24,94900,23.76
