Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,1.87,1.93,1.78,1.81,816500,1.81
2014-02-21,1.82,1.91,1.82,1.88,954600,1.88
2014-02-20,1.86,1.90,1.77,1.80,995700,1.80
2014-02-19,1.85,1.89,1.85,1.85,398100,1.85
2014-02-18,1.94,1.95,1.84,1.85,657300,1.85
2014-02-14,1.96,2.01,1.93,1.93,508000,1.93
2014-02-13,1.93,2.01,1.93,1.95,318700,1.95
2014-02-12,1.96,2.01,1.95,1.95,322800,1.95
2014-02-11,1.92,2.01,1.92,1.96,729600,1.96
2014-02-10,1.91,1.98,1.88,1.93,858700,1.93
2014-02-07,1.91,2.07,1.78,1.93,1550800,1.93
2014-02-06,2.05,2.11,1.88,1.89,1762300,1.89
2014-02-05,2.14,2.14,1.90,2.07,1787100,2.07
2014-02-04,2.26,2.30,2.08,2.15,1120100,2.15
2014-02-03,2.39,2.40,2.22,2.26,862900,2.26
2014-01-31,2.33,2.47,2.33,2.39,478500,2.39
2014-01-30,2.36,2.49,2.33,2.36,647400,2.36
2014-01-29,2.43,2.45,2.33,2.36,569600,2.36
2014-01-28,2.44,2.48,2.44,2.45,601400,2.45
2014-01-27,2.45,2.52,2.41,2.45,1255400,2.45
2014-01-24,2.43,2.46,2.40,2.43,623500,2.43
2014-01-23,2.45,2.48,2.41,2.45,542400,2.45
2014-01-22,2.51,2.51,2.44,2.45,686400,2.45
2014-01-21,2.52,2.56,2.49,2.50,1103300,2.50
2014-01-17,2.51,2.56,2.50,2.51,589900,2.51
2014-01-16,2.55,2.55,2.48,2.52,407100,2.52
2014-01-15,2.55,2.59,2.52,2.54,445600,2.54
2014-01-14,2.60,2.64,2.54,2.55,352100,2.55
2014-01-13,2.60,2.67,2.55,2.58,1652800,2.58
2014-01-10,2.59,2.65,2.49,2.60,1039500,2.60
2014-01-09,2.73,2.75,2.50,2.58,902500,2.58
2014-01-08,2.72,2.75,2.67,2.72,446400,2.72
2014-01-07,2.77,2.83,2.67,2.72,648200,2.72
2014-01-06,2.70,2.84,2.66,2.77,933500,2.77
