Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,11.85,11.85,11.11,11.14,112500,11.14
2014-02-21,10.20,11.87,10.15,11.05,466600,11.05
2014-02-20,10.00,10.47,10.00,10.19,92100,10.19
2014-02-19,9.55,10.45,9.55,10.05,160800,10.05
2014-02-18,9.25,9.94,9.00,9.50,261700,9.50
2014-02-14,9.19,9.19,8.87,8.89,19100,8.89
2014-02-13,9.34,9.46,9.02,9.08,34100,9.08
2014-02-12,9.14,9.22,9.03,9.14,16300,9.14
2014-02-11,9.00,9.20,9.00,9.09,22000,9.09
2014-02-10,9.16,9.39,8.87,9.29,23700,9.29
2014-02-07,9.35,9.35,9.01,9.15,46900,9.15
2014-02-06,9.45,9.58,9.15,9.17,65200,9.17
2014-02-05,8.94,9.56,8.61,9.49,71300,9.49
2014-02-04,9.16,9.19,8.76,8.96,15800,8.96
2014-02-03,9.00,9.22,8.58,9.00,75200,9.00
2014-01-31,8.86,9.25,8.59,8.79,28300,8.79
2014-01-30,9.39,9.39,8.71,8.97,28300,8.97
2014-01-29,8.90,9.48,8.40,9.02,65300,9.02
2014-01-28,9.72,9.74,8.66,9.04,112200,9.04
2014-01-27,8.85,8.85,8.30,8.59,35100,8.59
2014-01-24,8.43,8.75,8.15,8.49,145000,8.49
2014-01-23,8.91,8.91,8.34,8.51,17800,8.51
2014-01-22,9.37,9.37,7.77,8.71,205900,8.71
2014-01-21,10.00,10.20,8.20,8.95,155700,8.95
2014-01-17,9.90,9.90,9.50,9.71,34400,9.71
2014-01-16,9.87,9.88,9.40,9.63,52500,9.63
2014-01-15,9.30,9.97,9.10,9.79,79700,9.79
2014-01-14,9.26,9.49,8.75,8.95,49600,8.95
2014-01-13,9.33,9.73,9.25,9.25,61900,9.25
2014-01-10,9.75,9.82,9.49,9.61,116500,9.61
2014-01-09,9.89,9.90,9.39,9.75,93900,9.75
2014-01-08,9.49,9.70,9.31,9.62,66700,9.62
2014-01-07,9.29,9.47,8.93,9.23,76600,9.23
2014-01-06,9.92,9.92,9.05,9.06,121200,9.06
2014-01-03,9.50,9.50,8.97,9.15,126100,9.15
2014-01-02,9.39,9.39,8.75,8.88,66100,8.88
2013-12-31,8.61,9.47,8.50,9.14,169200,9.14
2013-12-30,9.02,9.04,8.35,8.62,97300,8.62
2013-12-27,9.88,9.99,9.01,9.20,46000,9.20
2013-12-26,9.11,9.50,9.00,9.27,85800,9.27
2013-12-24,9.00,9.00,8.66,8.95,10200,8.95
2013-12-23,8.80,9.30,8.56,8.76,29100,8.76
2013-12-20,8.46,8.72,8.33,8.68,93400,8.68
2013-12-19,8.76,8.76,8.37,8.59,56600,8.59
2013-12-18,8.43,8.79,8.43,8.60,85600,8.60
2013-12-17,8.88,8.88,8.35,8.50,122300,8.50
2013-12-16,8.32,8.94,8.32,8.74,170300,8.74
2013-12-13,8.65,8.65,8.32,8.54,145400,8.54
2013-12-12,8.95,8.95,8.29,8.49,69300,8.49
2013-12-11,9.01,10.90,8.50,8.76,254000,8.76
2013-12-10,8.33,9.13,8.30,8.99,167700,8.99
2013-12-09,7.89,8.46,7.81,8.20,45600,8.20
2013-12-04,8.27,9.20,7.70,7.85,221200,7.85
