Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,8.47,9.13,8.47,8.85,4932400,8.85
2014-02-21,7.64,8.62,7.45,8.48,5588700,8.48
2014-02-20,7.24,7.67,7.20,7.60,1316100,7.60
2014-02-19,7.40,7.53,7.27,7.27,807900,7.27
2014-02-18,7.42,7.79,7.33,7.44,1433700,7.44
2014-02-14,7.44,7.68,7.25,7.34,879400,7.34
2014-02-13,7.25,7.60,7.11,7.49,747600,7.49
2014-02-12,7.52,7.85,7.36,7.41,1436500,7.41
2014-02-11,7.74,7.77,7.40,7.49,923400,7.49
2014-02-10,7.36,7.79,7.35,7.68,1018100,7.68
2014-02-07,7.07,7.38,7.01,7.33,1836200,7.33
2014-02-06,7.11,7.24,6.90,7.01,1044400,7.01
2014-02-05,7.30,7.30,6.95,7.08,1522000,7.08
2014-02-04,7.13,7.48,7.08,7.35,1251100,7.35
2014-02-03,7.77,7.86,7.00,7.12,2074400,7.12
2014-01-31,7.86,8.02,7.65,7.77,1470000,7.77
2014-01-30,7.75,8.10,7.75,7.97,1890500,7.97
2014-01-29,7.49,7.79,7.27,7.65,2101700,7.65
2014-01-28,7.43,7.71,7.42,7.63,891200,7.63
2014-01-27,7.43,7.70,6.75,7.39,2625900,7.39
2014-01-24,8.11,8.13,7.29,7.51,2707200,7.51
2014-01-23,8.34,8.34,8.01,8.33,1059900,8.33
2014-01-22,8.40,8.44,8.19,8.26,1118600,8.26
2014-01-21,8.39,8.44,7.98,8.40,1706500,8.40
2014-01-17,8.40,8.40,8.15,8.20,1389700,8.20
2014-01-16,8.21,8.64,8.21,8.38,1712200,8.38
2014-01-15,8.55,8.75,8.15,8.19,1878000,8.19
2014-01-14,7.90,8.37,7.85,8.32,2177300,8.32
2014-01-13,8.28,8.99,7.83,7.89,6221600,7.89
2014-01-10,8.23,8.44,8.10,8.32,3767000,8.32
2014-01-09,7.68,8.18,7.29,8.17,4382500,8.17
2014-01-08,6.39,7.47,6.39,7.16,2255700,7.16
2014-01-07,7.02,7.23,6.84,7.00,1805600,7.00
2014-01-06,7.12,7.14,6.95,7.06,1387500,7.06
2014-01-03,6.93,7.10,6.90,7.09,1979700,7.09
2014-01-02,6.66,6.93,6.43,6.92,2859600,6.92
2013-12-31,6.97,7.06,6.65,6.73,2669000,6.73
2013-12-30,6.93,7.06,6.88,6.95,1146700,6.95
2013-12-27,7.32,7.33,6.75,6.91,2278700,6.91
2013-12-26,7.10,7.45,6.98,7.30,2807700,7.30
2013-12-24,6.99,7.17,6.89,7.07,1632900,7.07
2013-12-23,6.65,6.97,6.51,6.85,2122600,6.85
2013-12-20,6.33,6.72,6.33,6.70,4002500,6.70
2013-12-19,5.66,6.32,5.65,6.30,3307800,6.30
2013-12-18,5.50,5.81,5.45,5.81,1805800,5.81
2013-12-17,5.54,5.75,5.42,5.45,914800,5.45
2013-12-16,5.27,5.58,5.27,5.52,1653000,5.52
2013-12-13,5.27,5.48,5.24,5.27,7781100,5.27
2013-12-12,5.60,5.75,5.40,5.66,1355500,5.66
2013-12-11,6.06,6.16,5.55,5.62,1472100,5.62
2013-12-10,5.90,6.01,5.70,6.01,1324500,6.01
2013-12-09,6.04,6.15,5.82,5.93,1922800,5.93
2013-12-06,6.07,6.20,5.92,6.02,1818600,6.02
2013-12-05,5.84,6.24,5.81,6.01,2993600,6.01
2013-12-04,5.79,6.28,5.62,6.11,4757800,6.11
2013-12-03,5.60,5.91,5.50,5.88,4373600,5.88
2013-12-02,4.95,6.03,4.82,5.84,9456700,5.84
2013-11-29,4.67,4.81,4.55,4.78,896200,4.78
2013-11-27,4.31,4.63,4.28,4.62,2043600,4.62
2013-11-26,4.10,4.34,4.08,4.28,1071700,4.28
2013-11-25,4.18,4.21,4.02,4.10,1519500,4.10
2013-11-22,4.06,4.16,4.05,4.16,622200,4.16
2013-11-21,3.90,4.07,3.90,4.06,698800,4.06
2013-11-20,3.84,4.05,3.81,3.86,608300,3.86
2013-11-19,3.89,3.91,3.78,3.83,891500,3.83
2013-11-18,4.17,4.20,3.84,3.90,852300,3.90
2013-11-15,4.11,4.18,4.07,4.16,841600,4.16
2013-11-14,3.91,4.13,3.90,4.12,1157200,4.12
2013-11-13,3.93,4.06,3.88,4.04,867800,4.04
2013-11-12,3.71,4.00,3.68,3.98,1427900,3.98
2013-11-11,3.86,3.86,3.67,3.72,1670000,3.72
2013-11-08,4.02,4.13,3.85,3.88,1886000,3.88
2013-11-07,4.39,4.43,4.00,4.02,2094600,4.02
2013-11-06,4.30,4.45,4.23,4.38,2005000,4.38
2013-11-05,4.30,4.35,4.21,4.29,1103100,4.29
