Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,20.25,20.69,20.25,20.69,500,20.69
2014-02-21,20.37,20.38,20.34,20.34,3000,20.34
2014-02-20,20.38,20.39,20.33,20.36,2200,20.36
2014-02-19,20.45,20.45,20.35,20.35,2200,20.35
2014-02-18,20.23,20.46,20.23,20.35,11600,20.35
2014-02-14,21.08,21.08,20.17,20.25,2800,20.25
2014-02-13,20.20,20.30,20.03,20.25,4900,20.25
2014-02-12,20.08,20.26,20.04,20.04,3100,20.04
2014-02-11,20.18,20.29,20.18,20.28,2400,20.28
2014-02-10,20.42,20.42,20.07,20.07,3600,20.07
2014-02-07,20.01,20.14,19.96,20.14,2300,20.14
2014-02-06,19.87,19.98,19.87,19.98,6800,19.98
2014-02-05,19.63,19.75,19.44,19.75,3900,19.75
2014-02-04,19.68,19.68,19.68,19.68,1100,19.68
2014-02-03,19.70,19.70,19.28,19.44,2400,19.44
2014-01-31,19.47,19.47,19.43,19.43,600,19.43
2014-01-30,19.62,19.70,19.62,19.70,300,19.70
2014-01-29,19.58,19.63,19.51,19.51,2900,19.51
2014-01-28,19.52,19.52,19.26,19.34,700,19.34
2014-01-27,19.76,19.76,19.27,19.60,9600,19.60
2014-01-24,19.80,19.80,19.76,19.76,700,19.76
2014-01-23,20.00,20.00,19.60,19.94,2800,19.94
2014-01-22,19.80,20.02,19.80,20.02,1300,20.02
2014-01-21,20.10,20.11,20.00,20.00,3400,19.93
2014-01-17,20.11,20.11,19.62,19.90,4500,19.83
2014-01-16,20.10,20.12,20.10,20.12,2900,20.05
2014-01-15,20.07,20.13,20.07,20.13,2000,20.06
2014-01-14,20.21,20.21,20.16,20.16,500,20.09
2014-01-13,20.32,20.32,20.10,20.10,19500,20.03
2014-01-10,20.17,20.29,20.17,20.29,3000,20.21
2014-01-09,20.18,20.18,20.08,20.12,1800,20.05
2014-01-08,20.04,20.19,20.04,20.11,2800,20.04
2014-01-07,20.27,20.27,20.12,20.12,1700,20.05
2014-01-06,20.15,20.15,20.15,20.15,400,20.08
2014-01-03,20.20,20.25,20.20,20.25,1200,20.18
2014-01-02,20.30,20.30,20.13,20.15,700,20.08
2013-12-31,20.39,20.42,20.39,20.42,2800,20.34
2013-12-30,20.25,20.34,20.25,20.30,2100,20.22
2013-12-27,20.27,20.27,20.14,20.14,900,20.07
2013-12-26,20.51,20.51,20.51,20.51,600,20.43
2013-12-24,20.36,20.47,20.31,20.43,1500,20.35
2013-12-23,20.46,20.46,20.05,20.08,8100,20.01
2013-12-20,20.17,20.21,19.97,20.21,7200,20.14
2013-12-19,20.08,20.15,20.06,20.15,7500,20.08
