Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,6.00,6.00,6.00,6.00,000,6.00
2014-02-21,6.06,6.09,6.00,6.00,6800,6.00
2014-02-20,6.02,6.05,5.75,6.05,27700,6.05
2014-02-19,6.48,6.48,6.48,6.48,000,6.48
2014-02-18,6.43,6.49,6.43,6.48,6200,6.48
2014-02-14,6.49,6.61,6.37,6.49,14800,6.49
2014-02-13,6.44,6.44,6.44,6.44,3500,6.44
2014-02-12,6.09,6.09,6.09,6.09,200,6.09
2014-02-11,5.99,6.09,5.99,6.09,1500,6.09
2014-02-10,6.08,6.09,5.83,5.85,2500,5.85
2014-02-07,5.75,5.78,5.73,5.78,25800,5.78
2014-02-06,5.70,5.75,5.69,5.75,73100,5.75
2014-02-05,5.22,5.64,5.22,5.64,200,5.64
2014-02-04,5.20,5.20,5.20,5.20,000,5.20
2014-02-03,5.50,5.50,4.85,5.20,21200,5.20
2014-01-31,5.71,5.71,5.57,5.63,13600,5.63
2014-01-30,5.78,6.17,5.68,5.86,16000,5.86
2014-01-29,5.83,5.87,5.78,5.85,8300,5.85
2014-01-28,6.12,6.50,5.73,5.87,10100,5.87
2014-01-27,6.28,6.34,6.00,6.11,771200,6.11
2014-01-24,6.25,6.25,6.20,6.20,12000,6.20
2014-01-23,6.90,6.90,6.40,6.47,20600,6.47
2014-01-22,7.00,7.05,6.78,7.05,8000,7.05
2014-01-21,6.62,7.07,6.56,6.60,86200,6.60
2014-01-17,6.25,6.25,6.25,6.25,000,6.25
2014-01-16,6.25,6.25,6.25,6.25,500,6.25
2014-01-15,6.13,6.27,6.01,6.27,8400,6.27
2014-01-14,6.10,6.10,6.10,6.10,000,6.10
2014-01-13,6.10,6.11,6.10,6.10,2600,6.10
2014-01-10,6.35,6.38,6.35,6.38,1000,6.38
2014-01-09,6.32,6.60,6.32,6.36,3200,6.36
2014-01-08,6.33,6.33,6.33,6.33,1100,6.33
2014-01-07,6.23,6.23,6.23,6.23,300,6.23
2014-01-06,6.47,6.47,6.47,6.47,100,6.47
2014-01-03,6.29,6.29,6.29,6.29,000,6.29
2014-01-02,6.29,6.29,6.29,6.29,000,6.29
2013-12-31,6.25,6.39,6.22,6.29,8000,6.29
2013-12-30,6.10,6.10,6.10,6.10,000,6.10
2013-12-27,6.10,6.10,6.10,6.10,1000,6.10
2013-12-26,6.10,6.15,6.10,6.10,12000,6.10
2013-12-24,6.00,6.00,6.00,6.00,000,6.00
2013-12-23,5.80,6.00,5.80,6.00,7100,6.00
2013-12-20,6.11,6.11,5.65,5.83,94400,5.83
2013-12-19,5.97,5.97,5.36,5.36,5900,5.36
2013-12-18,5.63,5.63,5.63,5.63,100,5.63
2013-12-17,5.50,5.50,5.26,5.31,7500,5.31
2013-12-16,5.74,5.74,5.51,5.60,75400,5.60
2013-12-13,5.95,5.95,5.95,5.95,000,5.95
2013-12-12,5.64,5.95,5.64,5.95,2200,5.95
2013-12-11,5.66,5.66,5.65,5.65,1100,5.65
2013-12-10,6.29,6.29,6.29,6.29,000,6.29
2013-12-09,6.29,6.29,6.29,6.29,000,6.29
2013-12-06,6.31,6.31,6.10,6.29,8400,6.29
2013-12-05,6.04,6.05,6.00,6.05,4000,6.05
2013-12-04,6.18,6.19,6.03,6.03,4100,6.03
2013-12-03,6.03,6.03,5.89,5.89,4100,5.89
2013-12-02,6.16,6.48,6.14,6.14,3100,6.14
2013-11-29,6.28,6.28,6.28,6.28,000,6.28
2013-11-27,6.05,6.28,6.05,6.28,1100,6.28
2013-11-26,6.14,6.14,6.08,6.08,1100,6.08
2013-11-25,6.33,6.40,6.15,6.25,3200,6.25
2013-11-22,6.12,6.12,6.12,6.12,200,6.12
2013-11-21,5.59,6.00,5.59,5.95,11100,5.95
2013-11-20,5.53,5.79,5.46,5.59,7400,5.59
2013-11-19,5.33,5.71,5.33,5.60,2500,5.60
2013-11-18,6.11,6.11,5.90,5.90,27900,5.90
2013-11-15,6.06,6.06,6.06,6.06,200,6.06
